sourceRowId,caseId,xRaw,yRaw,xPlot,yPlot,isZeroPoint,sourceFile,sourceHash
0,CC-B-R12-S--0.5,306.0,58752.0,306.0,58752.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
1,CC-B-R12-S--0.5,35.0,6720.0,35.0,6720.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
2,CC-B-R12-S--0.5,49.0,9408.0,49.0,9408.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
3,CC-B-R12-S--0.5,70.0,13440.0,70.0,13440.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
4,CC-B-R12-S--0.5,84.0,16128.0,84.0,16128.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
5,CC-B-R12-S--0.5,98.0,18816.0,98.0,18816.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
6,CC-B-R12-S--0.5,112.0,21504.0,112.0,21504.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
7,CC-B-R12-S-0,306.0,58752.0,306.0,58752.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
8,CC-B-R12-S-0,35.0,6720.0,35.0,6720.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
9,CC-B-R12-S-0,49.0,9408.0,49.0,9408.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
10,CC-B-R12-S-0,70.0,13440.0,70.0,13440.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
11,CC-B-R12-S-0,84.0,16128.0,84.0,16128.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
12,CC-B-R12-S-0,98.0,18816.0,98.0,18816.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
13,CC-B-R12-S-0,112.0,21504.0,112.0,21504.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
14,CC-B-R23-S-0.5,306.0,58752.0,306.0,58752.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
15,CC-B-R23-S-0.5,35.0,6720.0,35.0,6720.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
16,CC-B-R23-S-0.5,49.0,9408.0,49.0,9408.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
17,CC-B-R23-S-0.5,70.0,13440.0,70.0,13440.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
18,CC-B-R23-S-0.5,84.0,16128.0,84.0,16128.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
19,CC-B-R23-S-0.5,98.0,18816.0,98.0,18816.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
20,CC-B-R23-S-0.5,112.0,21504.0,112.0,21504.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
21,CC-B-R23-S-1,306.0,58752.0,306.0,58752.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
22,CC-B-R23-S-1,35.0,6720.0,35.0,6720.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
23,CC-B-R23-S-1,49.0,9408.0,49.0,9408.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
24,CC-B-R23-S-1,70.0,13440.0,70.0,13440.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
25,CC-B-R23-S-1,84.0,16128.0,84.0,16128.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
26,CC-B-R23-S-1,98.0,18816.0,98.0,18816.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
27,CC-B-R23-S-1,112.0,21504.0,112.0,21504.0,NO,stage10_traceback_figure_data_memory.csv,3de73cea9f0a5a07cec4edb808a279425bb1a5d633be97a57c48a336f6fc0e6d
