rateCase,targetFerLevel,targetFer,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,mode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,decodedBitMismatchVsBlock,decodedFrameMismatchVsBlock,relativeBerIncreaseVsBlock,relativeFerIncreaseVsBlock,survivorMemoryBytes,pathMetricMemoryBytes,totalDecoderMemoryBytes,tracebackOperations,ACSCount,firstDecisionDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,sourceStage09RowId,sourceObservedFer,stopReason,timingBatchCount
R12,FER_030,0.29999999999999999,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,CONTINUOUS_TRUNCATED_VITERBI,35,1000,4134,457,0.013780000000000001,0.45700000000000002,0.013369025652349702,0.014203426148925346,0.42634830454476441,0.48798079668499333,1946,326,0.37433510638297884,0.56506849315068508,6720,1024,7744,9520000,39168000,34,32.646666666666668,34,311.53369999999973,283.10000000000002,424.10000000000002,1192.0999999999999,2026072001,2026072901,0-999,CC-B-R12-S-FER_030,STAGE10-1030,dense-014,0.32979999999999998,TARGET_ERRORS_REACHED,5
R12,FER_030,0.29999999999999999,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,CONTINUOUS_TRUNCATED_VITERBI,49,1000,3410,345,0.011366666666666667,0.34499999999999997,0.01099354040564952,0.011752306532971605,0.31618050448770851,0.37500579064281347,674,133,0.13364361702127669,0.18150684931506847,9408,1024,10432,12642000,39168000,48,44.990000000000002,48,316.77669999999921,287.89999999999998,425.89999999999998,1894.4000000000001,2026072001,2026072901,0-999,CC-B-R12-S-FER_030,STAGE10-1030,dense-014,0.32979999999999998,TARGET_ERRORS_REACHED,5
R12,FER_030,0.29999999999999999,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,CONTINUOUS_TRUNCATED_VITERBI,70,1000,3064,299,0.010213333333333333,0.29899999999999999,0.0098597684087092328,0.010579441399417062,0.27143763442230356,0.32810072248888961,110,24,0.018617021276595737,0.02397260273972605,13440,1024,14464,16590000,39168000,69,62.280000000000001,69,325.08489999999983,297.10000000000002,434.89999999999998,954.20000000000005,2026072001,2026072901,0-999,CC-B-R12-S-FER_030,STAGE10-1030,dense-014,0.32979999999999998,TARGET_ERRORS_REACHED,5
R12,FER_030,0.29999999999999999,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,CONTINUOUS_TRUNCATED_VITERBI,84,1000,3028,293,0.010093333333333333,0.29299999999999998,0.0097418677632359913,0.01045734511801801,0.26562577020883094,0.32195850780418889,32,7,0.0066489361702127261,0.0034246575342465786,16128,1024,17152,18732000,39168000,83,72.989999999999995,83,333.39409999999998,301.69999999999999,440.10000000000002,5408.3999999999996,2026072001,2026072901,0-999,CC-B-R12-S-FER_030,STAGE10-1030,dense-014,0.32979999999999998,TARGET_ERRORS_REACHED,5
R12,FER_030,0.29999999999999999,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,CONTINUOUS_TRUNCATED_VITERBI,98,1000,3008,292,0.010026666666666666,0.29199999999999998,0.0096763729611021778,0.010389508294111659,0.26465769460685978,0.32093423692313111,0,0,0,0,18816,1024,19840,20482000,39168000,97,83.046666666666667,97,341.90329999999921,306.69999999999999,451.30000000000001,3367.1999999999998,2026072001,2026072901,0-999,CC-B-R12-S-FER_030,STAGE10-1030,dense-014,0.32979999999999998,TARGET_ERRORS_REACHED,5
R12,FER_030,0.29999999999999999,-1.3999999999999999,-1.3999999999999999,1.6963016742589878,0.49019607843137253,0.69019213230144238,CONTINUOUS_TRUNCATED_VITERBI,112,1000,3008,292,0.010026666666666666,0.29199999999999998,0.0096763729611021778,0.010389508294111659,0.26465769460685978,0.32093423692313111,0,0,0,0,21504,1024,22528,21840000,39168000,111,92.450000000000003,111,339.37679999999983,311.69999999999999,456.80000000000001,1170.4000000000001,2026072001,2026072901,0-999,CC-B-R12-S-FER_030,STAGE10-1030,dense-014,0.32979999999999998,TARGET_ERRORS_REACHED,5
R12,FER_010,0.10000000000000001,-0.59999999999999998,-0.59999999999999998,2.4963016742589876,0.49019607843137253,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,35,2542,1718,302,0.0022528193023865725,0.11880409126671912,0.0021488896160314942,0.0023617635852957643,0.10679760274355996,0.13196096437564456,587,158,0.24945454545454551,0.51000000000000012,6720,1024,7744,24199840,99565056,34,32.646666666666668,34,330.82922895358047,291.69999999999999,449.69999999999999,1764.3,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081000000000000003,TARGET_ERRORS_REACHED,5
R12,FER_010,0.10000000000000001,-0.59999999999999998,-0.59999999999999998,2.4963016742589876,0.49019607843137253,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,49,2542,1405,211,0.0018423813270390769,0.083005507474429585,0.0017486108266217455,0.0019411705590030171,0.072899360334160224,0.094370073253411263,80,24,0.021818181818181816,0.055000000000000077,9408,1024,10432,32135964,99565056,48,44.990000000000002,48,336.61896144767877,295.69999999999999,457.30000000000001,973.29999999999995,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081000000000000003,TARGET_ERRORS_REACHED,5
R12,FER_010,0.10000000000000001,-0.59999999999999998,-0.59999999999999998,2.4963016742589876,0.49019607843137253,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,70,2542,1376,200,0.0018043535274062418,0.078678206136900075,0.0017115795342521941,0.0019021466352212189,0.068836238848283285,0.089791651125574315,1,1,0.00072727272727266706,0,13440,1024,14464,42171780,99565056,69,62.280000000000001,69,346.12324940991249,305.5,468.19999999999999,1332.3,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081000000000000003,TARGET_ERRORS_REACHED,5
R12,FER_010,0.10000000000000001,-0.59999999999999998,-0.59999999999999998,2.4963016742589876,0.49019607843137253,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,84,2542,1375,200,0.0018030422239706269,0.078678206136900075,0.0017103027803782027,0.0019008007954348192,0.068836238848283285,0.089791651125574315,0,0,0,0,16128,1024,17152,47616744,99565056,83,72.989999999999995,83,354.10247836349259,310.5,475.89999999999998,8113.1000000000004,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081000000000000003,TARGET_ERRORS_REACHED,5
R12,FER_010,0.10000000000000001,-0.59999999999999998,-0.59999999999999998,2.4963016742589876,0.49019607843137253,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,98,2542,1375,200,0.0018030422239706269,0.078678206136900075,0.0017103027803782027,0.0019008007954348192,0.068836238848283285,0.089791651125574315,0,0,0,0,18816,1024,19840,52065244,99565056,97,83.046666666666667,97,358.55267505900838,314.80000000000001,479.39999999999998,9015.2000000000007,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081000000000000003,TARGET_ERRORS_REACHED,5
R12,FER_010,0.10000000000000001,-0.59999999999999998,-0.59999999999999998,2.4963016742589876,0.49019607843137253,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,112,2542,1375,200,0.0018030422239706269,0.078678206136900075,0.0017103027803782027,0.0019008007954348192,0.068836238848283285,0.089791651125574315,0,0,0,0,21504,1024,22528,55517280,99565056,111,92.450000000000003,111,359.79634146341419,319.30000000000001,480.5,971.79999999999995,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081000000000000003,TARGET_ERRORS_REACHED,5
R12,FER_003,0.029999999999999999,-0.20000000000000001,-0.20000000000000001,2.8963016742589875,0.49019607843137253,0.52356427402544969,CONTINUOUS_TRUNCATED_VITERBI,35,6037,1364,284,0.00075313345480647125,0.047043233394069905,0.00071422541266689032,0.00079415936146082146,0.041984208437982215,0.052678341923392491,373,119,0.19544259421560048,0.42000000000000021,6720,1024,7744,57472240,236457216,34,32.646666666666668,34,339.88222627132637,297.89999999999998,459.5,9116.5,2026072001,2026072901,0-6036,CC-B-R12-S-FER_003,STAGE10-1003,dense-020,0.032954358213873783,TARGET_ERRORS_REACHED,5
