caseId,snrDb,Dtb,berRatioToFull,ferRatioToFull,fullMismatchBits,fullMismatchFrames,survivorMemoryBytes,avgDecodeTime_us,pointPass
CC-B-R12-S,-0.5,35,1.3488888888888888,1.7457627118644068,227,56,6720,583.77799999999934,FAIL
CC-B-R12-S,0.0,35,1.4117647058823528,1.8125,64,17,6720,554.19529999999975,FAIL
CC-B-R23-S,0.5,35,1.8376582278481013,2.303030303030303,4279,475,6720,509.65710000000018,FAIL
CC-B-R23-S,1.0,35,1.916506717850288,2.9772727272727275,1353,226,6720,515.95840000000032,FAIL
CC-B-R12-S,-0.5,49,1.04,1.0847457627118644,30,11,9408,585.86289999999974,FAIL
CC-B-R12-S,0.0,49,1.049019607843137,1.1875,7,5,9408,538.43679999999961,FAIL
CC-B-R23-S,0.5,49,1.2981012658227846,1.6363636363636362,1932,269,9408,500.8398000000002,FAIL
CC-B-R23-S,1.0,49,1.231285988483685,1.6136363636363635,463,83,9408,516.38359999999966,FAIL
CC-B-R12-S,-0.5,70,1.0044444444444443,1.0,2,1,13440,575.48180000000059,PASS
CC-B-R12-S,0.0,70,1.0,1.0,0,0,13440,563.93960000000072,PASS
CC-B-R23-S,0.5,70,1.0569620253164558,1.12987012987013,472,80,13440,521.50580000000014,FAIL
CC-B-R23-S,1.0,70,1.034548944337812,1.0681818181818183,100,15,13440,514.06839999999966,FAIL
