sourceRowId,caseId,xRaw,yRaw,xPlot,yPlot,isZeroPoint,sourceFile,sourceHash
0,CC-B-R12-S--0.5,306.0,0.0015,306.0,0.0015,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
1,CC-B-R12-S--0.5,35.0,0.002023333333333333,35.0,0.002023333333333333,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
2,CC-B-R12-S--0.5,49.0,0.00156,49.0,0.00156,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
3,CC-B-R12-S--0.5,70.0,0.0015066666666666666,70.0,0.0015066666666666666,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
4,CC-B-R12-S--0.5,84.0,0.0015,84.0,0.0015,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
5,CC-B-R12-S--0.5,98.0,0.0015,98.0,0.0015,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
6,CC-B-R12-S--0.5,112.0,0.0015,112.0,0.0015,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
7,CC-B-R12-S-0,306.0,0.00034,306.0,0.00034,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
8,CC-B-R12-S-0,35.0,0.00048,35.0,0.00048,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
9,CC-B-R12-S-0,49.0,0.00035666666666666664,49.0,0.00035666666666666664,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
10,CC-B-R12-S-0,70.0,0.00034,70.0,0.00034,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
11,CC-B-R12-S-0,84.0,0.00034,84.0,0.00034,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
12,CC-B-R12-S-0,98.0,0.00034,98.0,0.00034,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
13,CC-B-R12-S-0,112.0,0.00034,112.0,0.00034,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
14,CC-B-R23-S-0.5,306.0,0.010533333333333334,306.0,0.010533333333333334,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
15,CC-B-R23-S-0.5,35.0,0.019356666666666668,35.0,0.019356666666666668,NO,stage10_traceback_figure_data_ber.csv,2ddd7d386b9d9f4dfb1c9b4aeb7c1bf0b123af3dbab83fe79b284a393cf63300
