sourceRowId,caseId,xRaw,yRaw,xPlot,yPlot,isZeroPoint,sourceFile,sourceHash
0,CC-B-R12-S--0.5,306.0,0.059,306.0,0.059,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
1,CC-B-R12-S--0.5,35.0,0.103,35.0,0.103,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
2,CC-B-R12-S--0.5,49.0,0.064,49.0,0.064,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
3,CC-B-R12-S--0.5,70.0,0.059,70.0,0.059,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
4,CC-B-R12-S--0.5,84.0,0.059,84.0,0.059,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
5,CC-B-R12-S--0.5,98.0,0.059,98.0,0.059,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
6,CC-B-R12-S--0.5,112.0,0.059,112.0,0.059,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
7,CC-B-R12-S-0,306.0,0.016,306.0,0.016,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
8,CC-B-R12-S-0,35.0,0.029,35.0,0.029,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
9,CC-B-R12-S-0,49.0,0.019,49.0,0.019,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
10,CC-B-R12-S-0,70.0,0.016,70.0,0.016,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
11,CC-B-R12-S-0,84.0,0.016,84.0,0.016,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
12,CC-B-R12-S-0,98.0,0.016,98.0,0.016,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
13,CC-B-R12-S-0,112.0,0.016,112.0,0.016,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
14,CC-B-R23-S-0.5,306.0,0.231,306.0,0.231,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
15,CC-B-R23-S-0.5,35.0,0.532,35.0,0.532,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
16,CC-B-R23-S-0.5,49.0,0.378,49.0,0.378,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
17,CC-B-R23-S-0.5,70.0,0.261,70.0,0.261,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
18,CC-B-R23-S-0.5,84.0,0.241,84.0,0.241,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
19,CC-B-R23-S-0.5,98.0,0.234,98.0,0.234,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
20,CC-B-R23-S-0.5,112.0,0.232,112.0,0.232,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
21,CC-B-R23-S-1,306.0,0.088,306.0,0.088,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
22,CC-B-R23-S-1,35.0,0.262,35.0,0.262,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
23,CC-B-R23-S-1,49.0,0.142,49.0,0.142,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
24,CC-B-R23-S-1,70.0,0.094,70.0,0.094,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
25,CC-B-R23-S-1,84.0,0.089,84.0,0.089,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
26,CC-B-R23-S-1,98.0,0.088,98.0,0.088,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
27,CC-B-R23-S-1,112.0,0.088,112.0,0.088,NO,stage10_traceback_figure_data_fer.csv,4dda7ea1f48b569ff9d9065b089bdf5ff09105cd448c091c553d0b1afbd83e72
