caseId,snrDb,mode,Dtb,frames,payloadBitErrors,payloadErrorFrames,BER,FER,fullMismatchBits,fullMismatchFrames,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,survivorMemoryBytes,tracebackOperations,firstStableOutputDepth
CC-B-R12-S,-0.5,FULL_BLOCK_ZERO_TERMINATED,306,1000,450,59,0.0015,0.058999999999999997,0,0,497.51349999999951,931.20000000000005,2085,58752,306000,36.250999999999998
CC-B-R12-S,-0.5,FINITE_TRACEBACK,35,1000,607,103,0.0020233333333333331,0.10299999999999999,227,56,583.77799999999934,1109.8,11324.799999999999,6720,9520000,36.250999999999998
CC-B-R12-S,-0.5,FINITE_TRACEBACK,49,1000,468,64,0.00156,0.064000000000000001,30,11,585.86289999999974,1127.0999999999999,8651.3999999999996,9408,12642000,36.250999999999998
CC-B-R12-S,-0.5,FINITE_TRACEBACK,70,1000,452,59,0.0015066666666666666,0.058999999999999997,2,1,575.48180000000059,1054.5999999999999,3510.0999999999999,13440,16590000,36.250999999999998
CC-B-R12-S,0,FULL_BLOCK_ZERO_TERMINATED,306,1000,102,16,0.00034000000000000002,0.016,0,0,511.22440000000063,897.20000000000005,9341,58752,306000,35.343000000000004
CC-B-R12-S,0,FINITE_TRACEBACK,35,1000,144,29,0.00048000000000000001,0.029000000000000001,64,17,554.19529999999975,936.89999999999998,13009.6,6720,9520000,35.343000000000004
CC-B-R12-S,0,FINITE_TRACEBACK,49,1000,107,19,0.00035666666666666664,0.019,7,5,538.43679999999961,951.79999999999995,3361.3000000000002,9408,12642000,35.343000000000004
CC-B-R12-S,0,FINITE_TRACEBACK,70,1000,102,16,0.00034000000000000002,0.016,0,0,563.93960000000072,1021,5123.6000000000004,13440,16590000,35.343000000000004
CC-B-R23-S,0.5,FULL_BLOCK_ZERO_TERMINATED,306,1000,3160,231,0.010533333333333334,0.23100000000000001,0,0,469.17429999999962,792.89999999999998,2932.9000000000001,58752,306000,65.879999999999995
CC-B-R23-S,0.5,FINITE_TRACEBACK,35,1000,5807,532,0.019356666666666668,0.53200000000000003,4279,475,509.65710000000018,838.70000000000005,5267.5,6720,9520000,65.879999999999995
CC-B-R23-S,0.5,FINITE_TRACEBACK,49,1000,4102,378,0.013673333333333332,0.378,1932,269,500.8398000000002,810.5,1838.4000000000001,9408,12642000,65.879999999999995
CC-B-R23-S,0.5,FINITE_TRACEBACK,70,1000,3340,261,0.011133333333333334,0.26100000000000001,472,80,521.50580000000014,896.29999999999995,1982.8,13440,16590000,65.879999999999995
CC-B-R23-S,1,FULL_BLOCK_ZERO_TERMINATED,306,1000,1042,88,0.0034733333333333335,0.087999999999999995,0,0,474.78190000000006,755.29999999999995,14286,58752,306000,43.426000000000002
CC-B-R23-S,1,FINITE_TRACEBACK,35,1000,1997,262,0.0066566666666666666,0.26200000000000001,1353,226,515.95840000000032,852.5,4086.8000000000002,6720,9520000,43.426000000000002
CC-B-R23-S,1,FINITE_TRACEBACK,49,1000,1283,142,0.0042766666666666665,0.14199999999999999,463,83,516.38359999999966,862.20000000000005,5282.6000000000004,9408,12642000,43.426000000000002
CC-B-R23-S,1,FINITE_TRACEBACK,70,1000,1078,94,0.0035933333333333334,0.094,100,15,514.06839999999966,829.89999999999998,1761.5,13440,16590000,43.426000000000002
