rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,quantMode,quantBits,clipMax,quantStep,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,inputMemoryBytes,pathMetricMemoryBytes,survivorMemoryBytes,totalDecoderMemoryBytes,trueClipCount,trueClipRatePercent,edgeBinCount,edgeBinRatePercent,integerOverflowCount,pathMetricSaturationCount,relativeBerIncreaseVsFloat,relativeFerIncreaseVsFloat,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,gridLayer,stopReason,timingBatchCount
R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,Float,0,0,0,1000,11499,669,0.038330000000000003,0.66900000000000004,0.037648869676805682,0.039022953413759609,0.63923606946990996,0.69747048616197249,382.53040000000004,416.39999999999998,487.5,1053.2,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,Q5,5,1.5,0.10000000000000001,1000,12684,690,0.042279999999999998,0.68999999999999995,0.041565772530470474,0.043005949402974489,0.66065347684071685,0.71789235493477221,373.08010000000024,401.5,450.80000000000001,858.10000000000002,383,512,58752,59647,176633,28.861601307189542,188878,30.862418300653594,0,0,0.10305243934255139,0.031390134529147844,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,Q6,6,1.5,0.048387096774193547,1000,12671,698,0.042236666666666665,0.69799999999999995,0.041522792550657224,0.042962263825861637,0.6688303415169653,0.72565426212275475,370.85620000000017,398.39999999999998,451.69999999999999,1258.9000000000001,459,512,58752,59723,176633,28.861601307189542,182567,29.831209150326796,0,0,0.10192190625271751,0.043348281016442322,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,Q7,7,2,0.031746031746031744,1000,11665,677,0.038883333333333332,0.67700000000000005,0.038197454131414933,0.039581021455283701,0.64738722027136164,0.70525810722475202,371.37550000000039,398.19999999999999,448.80000000000001,1793.2,536,512,58752,59800,80201,13.104738562091503,82412,13.466013071895425,0,0,0.014436037916340445,0.011958146487294478,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,Q8,8,2,0.015748031496062992,1000,11837,677,0.039456666666666668,0.67700000000000005,0.038765906920920377,0.040159220649723666,0.64738722027136164,0.70525810722475202,368.12509999999935,397.80000000000001,444.80000000000001,834.10000000000002,612,512,58752,59876,80201,13.104738562091503,81279,13.280882352941177,0,0,0.02939386033568131,0.011958146487294478,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.8999999999999999,-1.8999999999999999,1.1963016742589878,0.49019607843137253,0.77440830945624062,Float,0,0,0,1000,9524,613,0.031746666666666666,0.61299999999999999,0.031125257355457375,0.032380067663641751,0.58243432667296591,0.64270082590929856,379.03649999999965,415.30000000000001,474.5,2297,4896,1024,58752,64672,0,0,0,0,0,0,0,0,2026072001,2026072902,0-999,CC-B-R12-S-Float,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.8999999999999999,-1.8999999999999999,1.1963016742589878,0.49019607843137253,0.77440830945624062,Q5,5,1.5,0.10000000000000001,1000,10733,644,0.035776666666666665,0.64400000000000002,0.035117964274904628,0.036447257538322383,0.61382393003402236,0.67307396352213777,368.69420000000002,400.69999999999999,445,819.29999999999995,383,512,58752,59647,175090,28.609477124183005,187427,30.625326797385622,0,0,0.12694246115077695,0.050570962479608531,2026072001,2026072902,0-999,CC-B-R12-S-Q5,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.8999999999999999,-1.8999999999999999,1.1963016742589878,0.49019607843137253,0.77440830945624062,Q6,6,1.5,0.048387096774193547,1000,10496,639,0.034986666666666666,0.63900000000000001,0.034335083666066434,0.035650158378584644,0.60875216296783496,0.66818399817318075,368.93119999999948,399.60000000000002,468.19999999999999,948.60000000000002,459,512,58752,59723,175090,28.609477124183005,181081,29.588398692810458,0,0,0.10205795884082318,0.042414355628058766,2026072001,2026072902,0-999,CC-B-R12-S-Q6,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.8999999999999999,-1.8999999999999999,1.1963016742589878,0.49019607843137253,0.77440830945624062,Q7,7,2,0.031746031746031744,1000,9751,616,0.032503333333333335,0.61599999999999999,0.031874730258829108,0.033143908715825877,0.58546633347167321,0.64564585855967804,369.42259999999953,396.30000000000001,453.89999999999998,990.89999999999998,536,512,58752,59800,78535,12.832516339869281,80772,13.198039215686274,0,0,0.023834523309533895,0.004893964110929858,2026072001,2026072902,0-999,CC-B-R12-S-Q7,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
R12,-1.8999999999999999,-1.8999999999999999,1.1963016742589878,0.49019607843137253,0.77440830945624062,Q8,8,2,0.015748031496062992,1000,9637,612,0.03212333333333333,0.61199999999999999,0.03149833130943467,0.032760317396791382,0.58142392457642111,0.64171888152281442,364.89110000000028,394.39999999999998,449.69999999999999,1075.5999999999999,612,512,58752,59876,78535,12.832516339869281,79649,13.014542483660131,0,0,0.011864762704745823,-0.0016313213703099524,2026072001,2026072902,0-999,CC-B-R12-S-Q8,STAGE11-1200,dense,TARGET_ERRORS_REACHED,5
