rateCase,quantMode,targetFer,leftSnr,leftFer,rightSnr,rightFer,interpolatedSnr,interpolationMethod,coveredByData,snrLossVsFloat
R12,Q3,0.1,-0.5,0.10918727915194346,0.0,0.03447937131630648,-0.4618746752868165,linear_in_log10_FER,YES,0.2600917267130584
R12,Q4,0.1,-1.0,0.19946571682991987,-0.5,0.08056537102473499,-0.6191857463900258,linear_in_log10_FER,YES,0.10278065560984917
R12,Q5,0.1,-0.7,0.10753720595295248,-0.5999999999999999,0.08762677484787018,-0.6645095966380421,linear_in_log10_FER,YES,0.05745680536183284
R12,Q6,0.1,-0.7,0.11185789726356217,-0.5999999999999999,0.08884381338742393,-0.6513525451351281,linear_in_log10_FER,YES,0.07061385686474686
R12,Q7,0.1,-0.7999999999999998,0.11669555170421722,-0.7,0.09745559289486318,-0.7143049007664933,linear_in_log10_FER,YES,0.007661501233381607
R12,Q8,0.1,-0.7999999999999998,0.11785095320623917,-0.7,0.09697551608257321,-0.715752619542688,linear_in_log10_FER,YES,0.006213782457186956
R12,Float,0.1,-0.7999999999999998,0.11554015020219527,-0.7,0.09601536245799328,-0.7219664019998749,linear_in_log10_FER,YES,0.0
R12,Q3,0.01,0.5,0.010439833590622465,1.0,0.00254,0.5152262571358872,linear_in_log10_FER,YES,0.25999029840130544
R12,Q4,0.01,0.0,0.022396856581532416,0.5,0.0065674141133990945,0.3286335291772159,linear_in_log10_FER,YES,0.07339757044263412
R12,Q5,0.01,0.0,0.021021611001964636,0.5,0.005834794212302781,0.28983340527403423,linear_in_log10_FER,YES,0.03459744653945246
R12,Q6,0.01,0.0,0.020333988212180746,0.5,0.005520814254690075,0.272175900537312,linear_in_log10_FER,YES,0.01693994180273023
R12,Q7,0.01,0.0,0.01974459724950884,0.5,0.005259164290012821,0.2571210264809508,linear_in_log10_FER,YES,0.0018850677463690402
R12,Q8,0.01,0.0,0.01994106090373281,0.5,0.005285329286480546,0.25989303417087456,linear_in_log10_FER,YES,0.00465707543629279
