sourceRowId,caseId,xRaw,yRaw,xPlot,yPlot,isZeroPoint,sourceFile,sourceHash
0,CC-C-R12-S-16-35,64.0,0.016,64.0,0.016,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
2,CC-C-R12-S-16-49,96.0,0.016,96.0,0.016,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
1,CC-C-R12-S-25-35,64.0,0.017,64.0,0.017,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
3,CC-C-R12-S-25-70,96.0,0.016,96.0,0.016,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
4,CC-C-R12-S-25-70,128.0,0.016,128.0,0.016,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
5,CC-C-R12-S-50-84,128.0,0.016,128.0,0.016,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
6,CC-C-R12-S-50-98,192.0,0.016,192.0,0.016,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
7,CC-C-R23-S-16-35,64.0,0.11,64.0,0.11,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
9,CC-C-R23-S-16-49,96.0,0.089,96.0,0.089,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
8,CC-C-R23-S-25-35,64.0,0.125,64.0,0.125,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
10,CC-C-R23-S-25-70,96.0,0.089,96.0,0.089,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
11,CC-C-R23-S-25-70,128.0,0.088,128.0,0.088,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
12,CC-C-R23-S-50-84,128.0,0.089,128.0,0.089,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
13,CC-C-R23-S-50-98,192.0,0.088,192.0,0.088,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
14,CC-C-R34-S-16-35,64.0,0.127,64.0,0.127,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
16,CC-C-R34-S-16-49,96.0,0.079,96.0,0.079,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
15,CC-C-R34-S-25-35,64.0,0.136,64.0,0.136,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
17,CC-C-R34-S-25-70,96.0,0.086,96.0,0.086,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
18,CC-C-R34-S-25-70,128.0,0.072,128.0,0.072,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
19,CC-C-R34-S-50-84,128.0,0.074,128.0,0.074,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
20,CC-C-R34-S-50-98,192.0,0.071,192.0,0.071,NO,stage13_window_figure_data_fer.csv,606d90b2a48e060070af3e3c40f509c8438a50a09aced9c9fe761d2b5e91bfef
