runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,windowBits,slideBits,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,mismatchVsBlockBits,mismatchVsBlockFrames,relativeFerIncreaseVsBlock,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,windowCount,outputBatchCount,windowTriggerCount,ACSCount,tracebackOperations,avgWindowProcessingTimeUs,p95WindowProcessingTimeUs,windowBufferBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,lostBits,duplicateBits,outputLength,finalFlushPass,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,stopReason,tracebackPerFrame
prescan,C_CHANGE_D,W128-S25-D35,R12,FER_010,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,128,25,35,1000,644,85,0.0021466666666666,0.085,0.0019873036253945,0.0023187794318719,0.0692633185396545,0.1039128910033562,0.002125,0.0021714285714285,48,10,0.0759493670886076,118,99.66666666666669,180,210,611,61.5,142,9,9,9,143998000,586000,1348.5180000000007,1873.8,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D35,STAGE13-1200,PRESCAN_FIXED_FRAMES,586.0
prescan,C_CHANGE_D,W128-S25-D49,R12,FER_010,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,128,25,49,1000,620,80,0.0020666666666666,0.08,0.0019104110500129,0.0022356740560053,0.0647480380983638,0.0984664390295024,0.0019937499999999,0.00215,12,3,0.0126582278481012,146,118.33333333333331,180,210,611,58.0,114,9,9,9,143998000,698000,1359.9096,1886.4,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D49,STAGE13-1200,PRESCAN_FIXED_FRAMES,698.0
prescan,C_CHANGE_D,W128-S25-D70,R12,FER_010,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,128,25,70,1000,616,79,0.0020533333333333,0.079,0.0018976014571268,0.0022218173236833,0.0638472157608291,0.0973749148840082,0.00196875,0.00215,0,0,0.0,188,146.33333333333334,188,210,611,52.75,72,9,9,9,143998000,866000,1337.1803000000027,1859.0,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D70,STAGE13-1200,PRESCAN_FIXED_FRAMES,866.0
prescan,C_CHANGE_D,W128-S25-D84,R12,FER_010,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,128,25,84,1000,616,79,0.0020533333333333,0.079,0.0018976014571268,0.0022218173236833,0.0638472157608291,0.0973749148840082,0.00196875,0.00215,0,0,0.0,216,165.0,214,216,611,49.25,50,9,9,9,143998000,978000,1328.1331999999995,1826.0,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D84,STAGE13-1200,PRESCAN_FIXED_FRAMES,978.0
prescan,C_CHANGE_D,W128-S25-D98,R12,FER_010,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,128,25,98,1000,616,79,0.0020533333333333,0.079,0.0018976014571268,0.0022218173236833,0.0638472157608291,0.0973749148840082,0.00196875,0.00215,0,0,0.0,244,183.66666666666663,242,244,611,45.75,50,9,9,9,143998000,1090000,1350.3949999999988,1906.7,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W128-S25-D98,STAGE13-1200,PRESCAN_FIXED_FRAMES,1090.0
prescan,C_CHANGE_D,W128-S25-D35,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,128,25,35,1000,1206,135,0.00402,0.135,0.0037998375335631,0.0042528642154318,0.1152113784916601,0.1575821552027951,0.00466875,0.0032785714285714,432,58,0.4835164835164836,88,74.66666666666667,135,157,458,46.125,106,9,9,9,143998000,586000,1209.7552000000005,1734.9,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S25-D35,STAGE13-2300,PRESCAN_FIXED_FRAMES,586.0
prescan,C_CHANGE_D,W128-S25-D49,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,128,25,49,1000,1068,108,0.0035599999999999,0.108,0.0033531365628504,0.0037795769664675,0.0902411985625518,0.1287589800901233,0.003975,0.0030857142857142,228,26,0.1868131868131868,109,88.66666666666667,135,157,458,43.5,85,9,9,9,143998000,698000,1228.810500000002,1752.2,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S25-D49,STAGE13-2300,PRESCAN_FIXED_FRAMES,698.0
prescan,C_CHANGE_D,W128-S25-D70,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,128,25,70,1000,926,95,0.0030866666666666,0.095,0.0028944285719788,0.0032916304124539,0.0783452345790474,0.1147544397942522,0.003225,0.0029285714285714,68,7,0.0439560439560439,141,109.66666666666669,141,157,458,39.5,54,9,9,9,143998000,866000,1229.5254000000011,1778.0,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S25-D70,STAGE13-2300,PRESCAN_FIXED_FRAMES,866.0
prescan,C_CHANGE_D,W128-S25-D84,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,128,25,84,1000,912,93,0.00304,0.0929999999999999,0.0028492633431428,0.0032434635030618,0.0765237256417453,0.1125912557654965,0.00316875,0.0028928571428571,42,3,0.0219780219780219,162,123.66666666666669,160,162,458,36.875,38,9,9,9,143998000,978000,1212.2194,1747.8,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S25-D84,STAGE13-2300,PRESCAN_FIXED_FRAMES,978.0
prescan,C_CHANGE_D,W128-S25-D98,R23,FER_010,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,128,25,98,1000,887,92,0.0029566666666666,0.0919999999999999,0.0027686403245771,0.0031574219890773,0.0756138995679688,0.1115087353562441,0.0030374999999999,0.0028642857142857,15,1,0.0109890109890109,183,137.66666666666666,181,183,458,34.25,38,9,9,9,143998000,1090000,1225.1826,1749.6,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S25-D98,STAGE13-2300,PRESCAN_FIXED_FRAMES,1090.0
