rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,tracebackMode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,mismatchVsBlockBits,mismatchVsBlockFrames,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,tracebackOperations,ACSCount,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,comparisonMode,windowBits,slideBits,runLayer,experimentId,candidateId,targetFerLevel,boundaryBER,nonBoundaryBER,relativeFerIncreaseVsBlock,maxDecisionDelaySymbols,steadyOutputIntervalMean,steadyOutputIntervalP95,windowCount,outputBatchCount,windowTriggerCount,avgWindowProcessingTimeUs,p95WindowProcessingTimeUs,windowBufferBytes,lostBits,duplicateBits,outputLength,finalFlushPass,stopReason
R12,-0.5,-0.5,2.596301674258988,0.4901960784313725,0.5610092271509816,BLOCK_FULL_TRACEBACK,306,2974,1358,200,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0,0,58752,1536,60288,910044,116485632,610,311.0,580,611,484.9600537995963,459.4,653.3,11411.2,5.0,2026072001,2026072903,0-2973,STAGE13-REFERENCE-R12--0.5,STAGE13-REFERENCE,BLOCK_FULL_TRACEBACK,306,300,,,,,,,,,,,,,,,,,,,,,
R12,-0.5,-0.5,2.596301674258988,0.4901960784313725,0.5610092271509816,CONTINUOUS_TRUNCATED_D84,84,2974,1358,200,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0,0,16128,1536,17664,55708968,116485632,166,145.98,166,611,571.7184599865502,537.4,788.9,4018.3,5.0,2026072001,2026072903,0-2973,STAGE13-REFERENCE-R12--0.5,STAGE13-REFERENCE,CONTINUOUS_TRUNCATED_D84,0,300,,,,,,,,,,,,,,,,,,,,,
R12,-0.5,-0.5,2.596301674258988,0.4901960784313725,0.5610092271509816,TRUE_SLIDING_WINDOW,70,2974,1358,200,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0,0,24576,1536,26112,2575484,428250052,188,146.33333333333334,188,611,1732.112844653664,,2437.9,,,2026072001,2026072903,0-2973,CC-C-R12-S-W128-S25-D70,STAGE13-1200,SLIDING_PERFORMANCE_FIRST,128,25,formal_coarse,AUTO_SELECTED,W128-S25-D70,GRID,0.0015803631472763,0.0014554712268229,0.0,210.0,52.75,72.0,9.0,9.0,9.0,1732.112844653664,2437.9,24576.0,0.0,0.0,300.0,1.0,TARGET_ERRORS_REACHED
R12,-0.5,-0.5,2.596301674258988,0.4901960784313725,0.5610092271509816,TRUE_SLIDING_WINDOW,70,2974,1358,200,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0,0,24576,1536,26112,2575484,428250052,188,146.33333333333334,188,611,1732.112844653664,,2437.9,,,2026072001,2026072903,0-2973,CC-C-R12-S-W128-S25-D70,STAGE13-1200,SLIDING_BALANCED,128,25,formal_coarse,AUTO_SELECTED,W128-S25-D70,GRID,0.0015803631472763,0.0014554712268229,0.0,210.0,52.75,72.0,9.0,9.0,9.0,1732.112844653664,2437.9,24576.0,0.0,0.0,300.0,1.0,TARGET_ERRORS_REACHED
R12,-0.5,-0.5,2.596301674258988,0.4901960784313725,0.5610092271509816,TRUE_SLIDING_WINDOW,70,2974,1358,200,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0,0,18432,1536,19968,3824564,540928964,170,137.77333333333334,168,611,2181.6610289172845,,3024.7,,,2026072001,2026072903,0-2973,CC-C-R12-S-W96-S16-D70,STAGE13-1200,SLIDING_LATENCY_FIRST,96,16,formal_coarse,AUTO_SELECTED,W96-S16-D70,GRID,0.0014939416463148,0.0016111858327729,0.0,170.0,31.428571428571427,32.0,15.0,15.0,15.0,2181.6610289172845,3024.7,18432.0,0.0,0.0,300.0,1.0,TARGET_ERRORS_REACHED
R23,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,BLOCK_FULL_TRACEBACK,306,2149,1928,200,0.0029905382348379,0.0930665425779432,0.0028601783865329,0.0031268209309936,0.081498881585992,0.1060864406708147,0,0,58752,1536,60288,657594,84172032,457,233.0,435,458,302.6525825965561,283.0,388.6,768.7999999999998,5.0,2026072001,2026072903,0-2148,STAGE13-REFERENCE-R23-1,STAGE13-REFERENCE,BLOCK_FULL_TRACEBACK,306,300,,,,,,,,,,,,,,,,,,,,,
R23,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,CONTINUOUS_TRUNCATED_D84,84,2149,2025,211,0.0031409958120055,0.0981852024197301,0.0030073343837563,0.0032805782951067,0.0863120884816125,0.1114922863254231,133,18,16128,1536,17664,40255068,84172032,124,109.42,125,458,360.9483480688686,339.0,454.8,753.4,5.0,2026072001,2026072903,0-2148,STAGE13-REFERENCE-R23-1,STAGE13-REFERENCE,CONTINUOUS_TRUNCATED_D84,0,300,,,,,,,,,,,,,,,,,,,,,
R23,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,TRUE_SLIDING_WINDOW,98,2149,1956,201,0.0030339692880409,0.0935318752908329,0.0029026479733975,0.0031712129329684,0.0819359948487754,0.1065783321853249,28,2,24576,1536,26112,2342410,309451702,183,137.66666666666666,181,458,1120.5875290832976,,1409.6,,,2026072001,2026072903,0-2148,CC-C-R23-S-W128-S25-D98,STAGE13-2300,SLIDING_PERFORMANCE_FIRST,128,25,formal_coarse,AUTO_SELECTED,W128-S25-D98,GRID,0.0030566542577943,0.0030080436083228,0.005,183.0,34.25,38.0,9.0,9.0,9.0,1120.5875290832976,1409.6,24576.0,0.0,0.0,300.0,1.0,TARGET_ERRORS_REACHED
R23,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,TRUE_SLIDING_WINDOW,98,2149,1956,201,0.0030339692880409,0.0935318752908329,0.0029026479733975,0.0031712129329684,0.0819359948487754,0.1065783321853249,28,2,24576,1536,26112,2342410,309451702,183,137.66666666666666,181,458,1120.5875290832976,,1409.6,,,2026072001,2026072903,0-2148,CC-C-R23-S-W128-S25-D98,STAGE13-2300,SLIDING_BALANCED,128,25,formal_coarse,AUTO_SELECTED,W128-S25-D98,GRID,0.0030566542577943,0.0030080436083228,0.005,183.0,34.25,38.0,9.0,9.0,9.0,1120.5875290832976,1409.6,24576.0,0.0,0.0,300.0,1.0,TARGET_ERRORS_REACHED
R23,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,TRUE_SLIDING_WINDOW,84,2149,1986,203,0.0030805025593299,0.0944625407166123,0.0029481587716199,0.0032187681227882,0.0828104967143509,0.1075618398743364,72,7,24576,1536,26112,2101722,309451702,162,123.66666666666669,160,458,1142.2620288506291,,1417.5,,,2026072001,2026072903,0-2148,CC-C-R23-S-W128-S25-D84,STAGE13-2300,SLIDING_LATENCY_FIRST,128,25,formal_coarse,AUTO_SELECTED,W128-S25-D84,GRID,0.0031322708236389,0.003021338828691,0.015,162.0,36.875,38.0,9.0,9.0,9.0,1142.2620288506291,1417.5,24576.0,0.0,0.0,300.0,1.0,TARGET_ERRORS_REACHED
R34,2.0,2.0,3.3353890837021747,0.7352941176470588,0.3154786722400966,BLOCK_FULL_TRACEBACK,306,2793,2328,200,0.0027783745076978,0.0716075904045828,0.0026679262675615,0.0028933818781413,0.0626222549916256,0.0817697188712676,0,0,58752,1536,60288,854658,109396224,406,207.0,386,407,332.1439312567132,357.0,420.2,1486.8,5.0,2026072001,2026072903,0-2792,STAGE13-REFERENCE-R34-2,STAGE13-REFERENCE,BLOCK_FULL_TRACEBACK,306,300,,,,,,,,,,,,,,,,,,,,,
R34,2.0,2.0,3.3353890837021747,0.7352941176470588,0.3154786722400966,CONTINUOUS_TRUNCATED_D84,84,2793,2431,223,0.0029013008712256,0.0798424633011099,0.0027883933998699,0.0030187663457508,0.0703577024439778,0.0904813960333354,213,37,16128,1536,17664,52318476,109396224,110,97.2333333333333,111,407,389.91611170784194,414.4,484.8,1115.6,5.0,2026072001,2026072903,0-2792,STAGE13-REFERENCE-R34-2,STAGE13-REFERENCE,CONTINUOUS_TRUNCATED_D84,0,300,,,,,,,,,,,,,,,,,,,,,
R34,2.0,2.0,3.3353890837021747,0.7352941176470588,0.3154786722400966,TRUE_SLIDING_WINDOW,126,2793,2328,200,0.0027783745076978,0.0716075904045828,0.0026679262675615,0.0028933818781413,0.0626222549916256,0.0817697188712676,0,0,30720,1536,32256,2966166,397181358,200,145.5,199,407,1096.3638023630513,,1377.1,,,2026072001,2026072903,0-2792,CC-C-R34-S-W160-S25-D126,STAGE13-3400,SLIDING_PERFORMANCE_FIRST,160,25,formal_coarse,AUTO_SELECTED,W160-S25-D126,GRID,0.0033088674066117,0.0024247125750885,0.0,206.0,34.333333333333336,40.0,7.0,7.0,7.0,1096.3638023630513,1377.1,30720.0,0.0,0.0,300.0,1.0,TARGET_ERRORS_REACHED
