rateCase,candidateId,windowBits,slideBits,dtb,snrLossAtFer01,snrLossAtFer001,worstCoveredSnrLoss,worstRelativeFerIncreaseVsBlock,meanFirstOutputDelaySymbols,meanP95DecisionDelaySymbols,totalMemoryBytes,meanACSPerFrame,meanTracebackPerFrame,meanCpuTimeUs,formalCorrectnessGate,reliabilityGate,balancedScore,paretoFront
R12,W96-S16-D70,96,16,70,0.0025504106705384,0.0,0.0025504106705384,0.0104046242774566,170.0,168.0,19968,181886.0,1286.0,1891.4775459572847,PASS,PASS,0.5630671777024885,1
R12,W128-S25-D70,128,25,70,0.0,0.0,0.0,0.0078988941548183,188.0,188.0,26112,143998.0,866.0,1502.3128148587791,PASS,PASS,0.3801310808686308,1
R12,W128-S50-D70,128,50,70,0.0,0.0,0.0,0.0034682080924855,238.0,232.0,26112,78462.0,586.0,823.9121867325267,PASS,PASS,0.4,1
R12,W128-S16-D70,128,16,70,0.0025504106705384,0.0,0.0025504106705384,0.01,170.0,196.0,26112,210558.0,1146.0,2169.363790640237,PASS,PASS,0.8724999999999999,0
R23,W128-S25-D84,128,25,84,0.0073578041236317,0.0,0.0073578041236317,0.019723865877712,162.0,160.0,26112,143998.0,978.0,1113.8512381116109,PASS,PASS,0.4678622017020085,1
R23,W128-S25-D98,128,25,98,0.0023909124333655,0.0,0.0023909124333655,0.00625,183.0,181.0,26112,143998.0,1090.0,1098.6054400920527,PASS,PASS,0.447008681468113,1
R23,W128-S50-D70,128,50,70,0.0098032711066714,0.0006469167816245,0.0098032711066714,0.0269230769230769,178.0,174.0,26112,78462.0,586.0,604.1830815097637,PASS,PASS,0.4833333333333333,1
R34,W160-S25-D126,160,25,126,0.0007109471440216,0.0,0.0007109471440216,0.0130434782608695,200.0,199.0,32256,142206.0,1062.0,1036.101237369298,PASS,PASS,0.5043764367048006,1
R34,W160-S25-D112,160,25,112,0.0059966600813343,0.0,0.0059966600813343,0.0282608695652172,181.0,186.0,32256,142206.0,978.0,1014.2117795210232,PASS,PASS,0.7090303875155903,1
R34,W192-S50-D112,192,50,112,0.0037095694829905,0.0,0.0037095694829905,0.0217391304347825,214.0,208.0,38400,93054.0,642.0,668.7573383583685,PASS,PASS,0.5588428297685013,1
R34,W128-S25-D98,128,25,98,0.0073182193776419,0.0,0.0073182193776419,0.0391304347826086,162.0,161.0,26112,143998.0,1090.0,1018.7302276798924,PASS,PASS,0.5952711860095738,1
