rateCase,candidateId,windowBits,slideBits,dtb,meanFER,meanFirstOutputDelaySymbols,meanAvgDecisionDelaySymbols,meanP95DecisionDelaySymbols,maxTotalMemoryBytes,meanACSCount,meanTracebackOperations,meanCpuUs,frames,frameErrors
R12,W160-S16-D112,160,16,112,0.22791743580640528,254.0,197.9333333333333,260.0,32256,7275037704.580646,46553242.0,2306.421223907259,1012027,7661
R12,W160-S16-D35,160,16,35,0.23308763652996436,100.0,115.8,260.0,32256,7275037704.580646,21415797.16129032,2298.1327711678355,1012027,7856
R12,W160-S16-D49,160,16,49,0.22963467931885834,128.0,130.73333333333332,260.0,32256,7275037704.580646,25986241.677419353,2301.6293176865324,1012027,7717
R12,W160-S16-D70,160,16,70,0.22829828908424088,170.0,153.13333333333333,260.0,32256,7275037704.580646,32841908.451612905,2303.723080910207,1012027,7673
R12,W160-S16-D84,160,16,84,0.22807872612898594,198.0,168.06666666666666,260.0,32256,7275037704.580646,37412352.96774194,2305.242875700406,1012027,7666
R12,W160-S16-D98,160,16,98,0.22794969387092143,226.0,183.0,260.0,32256,7275037704.580646,41982797.48387097,2306.335712038071,1012027,7662
R23,W160-S16-D112,160,16,112,0.34334489789170103,190.0,148.2,195.0,32256,6145603856.5161295,39325952.0,2522.6582601632995,854912,11214
R23,W160-S16-D35,160,16,35,0.35521404054143135,75.0,86.86666666666666,195.0,32256,6145603856.5161295,18091041.032258064,2512.3063475685144,854912,11892
R23,W160-S16-D49,160,16,49,0.3495395835594072,96.0,98.06666666666666,195.0,32256,6145603856.5161295,21951933.93548387,2515.607297367719,854912,11483
R23,W160-S16-D70,160,16,70,0.34569885207850576,127.0,114.6,195.0,32256,6145603856.5161295,27743273.29032258,2517.3418401856306,854912,11299
R23,W160-S16-D84,160,16,84,0.34434654827464084,148.0,125.8,195.0,32256,6145603856.5161295,31604166.19354839,2519.620968811931,854912,11247
R23,W160-S16-D98,160,16,98,0.34358571507598784,169.0,137.0,195.0,32256,6145603856.5161295,35465059.09677419,2522.955085151433,854912,11222
R34,W160-S16-D112,160,16,112,0.402454044191992,169.0,131.8,173.0,32256,5469604109.806452,35000204.0,2282.09834799043,760874,13062
R34,W160-S16-D35,160,16,35,0.4201806960300345,66.0,77.02666666666667,173.0,32256,5469604109.806452,16101075.612903226,2275.367609402362,760874,14339
R34,W160-S16-D49,160,16,49,0.4112172193197731,85.0,87.0,173.0,32256,5469604109.806452,19537280.774193548,2276.1922287059874,760874,13514
R34,W160-S16-D70,160,16,70,0.40574326048997283,113.0,101.93333333333334,173.0,32256,5469604109.806452,24691588.51612903,2280.050860164465,760874,13198
R34,W160-S16-D84,160,16,84,0.40368644603281,132.0,111.90666666666668,173.0,32256,5469604109.806452,28127793.677419353,2279.7347271115827,760874,13112
R34,W160-S16-D98,160,16,98,0.402774449772035,150.0,121.82666666666668,173.0,32256,5469604109.806452,31563998.83870968,2284.1565714001267,760874,13075
