runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,windowBits,slideBits,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,mismatchVsBlockBits,mismatchVsBlockFrames,relativeFerIncreaseVsBlock,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,windowCount,outputBatchCount,windowTriggerCount,ACSCount,tracebackOperations,avgWindowProcessingTimeUs,p95WindowProcessingTimeUs,medianWindowProcessingTimeUs,maxWindowProcessingTimeUs,timingBatchCount,windowBufferBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,lostBits,duplicateBits,outputLength,finalFlushPass,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,stopReason,normalizedGoodput,runId,configId
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,160,16,70,1000,117136,1000,0.3904533333333333,1.0,0.3887090229448214,0.3922004491459817,0.9961732415144448,1.0,0.401780487804878,0.3767941176470588,9637,627,0.0,170,153.13333333333333,260,290,611,44.0,152,11,11,11,222846000,1006000,2132.9475000000007,2627.8,2100.7,4819.6,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W160-S16-D70
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-4.5,-4.5,-1.4036983257410125,0.4901960784313725,1.4091914656322269,160,16,70,1000,103068,1000,0.3435599999999999,1.0,0.3418626493932535,0.3452613569408986,0.9961732415144448,1.0,0.3553231707317073,0.3293749999999999,8949,581,0.0,170,153.13333333333333,260,290,611,44.0,152,11,11,11,222846000,1006000,2131.5430999999967,2615.7,2100.2,8163.2,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W160-S16-D70
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-4.0,-4.0,-0.9036983257410122,0.4901960784313725,1.2559432157547905,160,16,70,1000,84320,1000,0.2810666666666666,1.0,0.2794609209334899,0.2826780191506129,0.9961732415144448,1.0,0.2881890243902439,0.2724779411764705,6180,456,0.0,170,153.13333333333333,260,290,611,44.0,152,11,11,11,222846000,1006000,2139.092300000002,2611.8,2111.4,7212.5,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W160-S16-D70
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-3.5,-3.5,-0.4036983257410122,0.4901960784313725,1.1193605692841695,160,16,70,1000,63050,993,0.2101666666666666,0.993,0.2087124510343542,0.2116283047560345,0.9856216845342332,0.9966051315990092,0.2177134146341463,0.2010661764705882,3884,342,0.0,170,153.13333333333333,260,290,611,44.0,152,11,11,11,222846000,1006000,2132.5878999999986,2600.1,2113.7,3857.0,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.0034313725490196104,stage13_full_wsd_20260730,W160-S16-D70
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-3.0,-3.0,0.0963016742589877,0.4901960784313725,0.9976311574844398,160,16,70,1000,41946,975,0.13982,0.975,0.1385836256552322,0.141065598337576,0.9633547107321566,0.983009868706566,0.1440853658536585,0.1346764705882352,2330,206,0.0,170,153.13333333333333,260,290,611,44.0,152,11,11,11,222846000,1006000,2163.3580999999976,2663.0,2124.0,8899.8,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.012254901960784322,stage13_full_wsd_20260730,W160-S16-D70
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-2.5,-2.5,0.5963016742589877,0.4901960784313725,0.8891397050194613,160,16,70,1000,23106,871,0.07702,0.871,0.0760713256057116,0.0779795066572624,0.8487959904982231,0.890364554705495,0.0784878048780487,0.0752499999999999,857,97,0.0069364161849711,170,153.13333333333333,260,290,611,44.0,152,11,11,11,222846000,1006000,2162.775499999999,2654.8,2135.6,4574.0,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.06323529411764706,stage13_full_wsd_20260730,W160-S16-D70
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-2.0,-2.0,1.0963016742589875,0.4901960784313725,0.7924465962305566,160,16,70,1000,10251,636,0.0341699999999999,0.636,0.0335258713488429,0.0348260582768161,0.6057107726047039,0.6652483490872249,0.0352439024390243,0.032875,209,30,0.0047393364928909,170,153.13333333333333,260,290,611,44.0,152,11,11,11,222846000,1006000,2164.9728000000014,2665.0,2140.0,4814.4,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.17843137254901958,stage13_full_wsd_20260730,W160-S16-D70
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-1.5,-1.5,1.5963016742589875,0.4901960784313725,0.7062687723113771,160,16,70,1000,3829,347,0.0127633333333333,0.3469999999999999,0.0123678464213651,0.0131712980827974,0.318132958753667,0.3770380293429127,0.0129085365853658,0.0125882352941176,2,2,0.0057971014492753,170,153.13333333333333,260,290,611,44.0,152,11,11,11,222846000,1006000,2185.1899000000008,2660.8,2150.5,5141.9,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-999,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.32009803921568625,stage13_full_wsd_20260730,W160-S16-D70
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-1.0,-1.0,2.096301674258988,0.4901960784313725,0.6294627058970836,160,16,70,1240,1713,201,0.0046048387096774,0.1620967741935484,0.0043923340688102,0.004827574643343,0.1426328481439647,0.1836478494020705,0.0043518882769472,0.0049098671726755,3,2,0.005,170,153.13333333333333,260,290,611,44.0,152,11,11,11,276329040,1247440,2319.050161290323,2630.4,2378.1,3870.1,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-1239,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.41073687539531933,stage13_full_wsd_20260730,W160-S16-D70
formal_full_wsd_20260730,CONTROL_S,W160-S16-D70,R12,FULL_GRID,-0.5,-0.5,2.596301674258988,0.4901960784313725,0.5610092271509816,160,16,70,2974,1358,200,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0.0015500188626634,0.0014883895723723,0,0,0.0,170,153.13333333333333,260,290,611,44.0,152,11,11,11,662744004,2991844,2329.9761600538022,2691.4,2384.8,4618.1,5,30720,30720,1536,32256,0,0,300,1,2026072001,2026072903,0-2973,CC-C-R12-S-W160-S16-D70,STAGE13-1200,TARGET_FRAME_ERRORS_REACHED,0.45723063939765546,stage13_full_wsd_20260730,W160-S16-D70
