runLayer,experimentId,candidateId,rateCase,targetFerLevel,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,windowBits,slideBits,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,mismatchVsBlockBits,mismatchVsBlockFrames,relativeFerIncreaseVsBlock,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,windowCount,outputBatchCount,windowTriggerCount,ACSCount,tracebackOperations,avgWindowProcessingTimeUs,p95WindowProcessingTimeUs,medianWindowProcessingTimeUs,maxWindowProcessingTimeUs,timingBatchCount,windowBufferBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,lostBits,duplicateBits,outputLength,finalFlushPass,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,stopReason,normalizedGoodput,runId,configId
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-5.0,-5.0,-3.153085691824012,0.65359477124183,1.5811388300841895,128,16,70,1000,141857,1000,0.4728566666666666,1.0,0.4710704698501164,0.4746435586076309,0.9961732415144448,1.0,0.4808877551020407,0.4577211538461538,22388,863,0.0,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,1898.2324999999987,2249.0,1982.0,4103.8,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W128-S16-D70
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-4.5,-4.5,-2.653085691824012,0.65359477124183,1.4091914656322269,128,16,70,1000,138800,1000,0.4626666666666666,1.0,0.4608829563730585,0.4644513330444498,0.9961732415144448,1.0,0.4728775510204081,0.4434230769230769,21440,860,0.0,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,1911.0367999999996,2263.6,1990.0,3011.2,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W128-S16-D70
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-4.0,-4.0,-2.153085691824012,0.65359477124183,1.2559432157547905,128,16,70,1000,134685,1000,0.44895,1.0,0.4471708208890962,0.4507304864706485,0.9961732415144448,1.0,0.4609183673469387,0.4263942307692307,20778,857,0.0,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,2294.386999999997,2983.5,2224.8,4964.8,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W128-S16-D70
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-3.5,-3.5,-1.6530856918240122,0.65359477124183,1.1193605692841695,128,16,70,1000,129064,1000,0.4302133333333333,1.0,0.4284425570068198,0.4319858968543368,0.9961732415144448,1.0,0.4443622448979591,0.4035480769230769,20969,853,0.0,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,2211.1356,2830.5,2156.9,4686.3,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W128-S16-D70
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-3.0,-3.0,-1.1530856918240122,0.65359477124183,0.9976311574844398,128,16,70,1000,121139,1000,0.4037966666666666,1.0,0.4020421457819347,0.4055536512608072,0.9961732415144448,1.0,0.4181683673469388,0.3767115384615384,19302,810,0.0,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,2213.5528000000018,2821.5,2153.1,8479.3,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W128-S16-D70
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-2.5,-2.5,-0.6530856918240122,0.65359477124183,0.8891397050194613,128,16,70,1000,109205,1000,0.3640166666666666,1.0,0.3622966645719651,0.3657401512126112,0.9961732415144448,1.0,0.3793163265306122,0.3351826923076923,18639,792,0.0,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,2355.1298,3062.3,2270.1,6777.1,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W128-S16-D70
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-2.0,-2.0,-0.1530856918240122,0.65359477124183,0.7924465962305566,128,16,70,1000,91351,1000,0.3045033333333333,1.0,0.3028590825717497,0.3061525906467726,0.9961732415144448,1.0,0.3206581632653061,0.2740576923076922,15519,750,0.0,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,2939.247399999996,4810.5,2523.1,27022.5,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.0,stage13_full_wsd_20260730,W128-S16-D70
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-1.5,-1.5,0.3469143081759877,0.65359477124183,0.7062687723113771,128,16,70,1000,69148,997,0.2304933333333333,0.997,0.2289897567082352,0.2320038118617995,0.9912169859464968,0.9989792161188614,0.2463265306122449,0.2006538461538461,12481,656,0.0030181086519114,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,2000.8355999999997,2384.7,2045.2,4078.9,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.0019607843137254915,stage13_full_wsd_20260730,W128-S16-D70
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-1.0,-1.0,0.8469143081759877,0.65359477124183,0.6294627058970836,128,16,70,1000,45669,958,0.15223,0.958,0.1509489402033823,0.1535199659768024,0.9437155747733968,0.9687791144538344,0.1618163265306122,0.1341634615384615,8246,499,0.0084210526315789,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,1953.8411,2295.7,2029.1,3025.5,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.027450980392156883,stage13_full_wsd_20260730,W128-S16-D70
formal_full_wsd_20260730,CONTROL_W,W128-S16-D70,R23,FULL_GRID,-0.5,-0.5,1.3469143081759878,0.65359477124183,0.5610092271509816,128,16,70,1000,24693,821,0.0823099999999999,0.821,0.0813318686818851,0.083298828107376,0.7960253362714627,0.8435178847808108,0.0884795918367346,0.0706826923076923,3718,305,0.0262499999999998,127,106.28,147,169,458,27.5,66,13,13,13,210558000,1146000,2037.0173999999977,2423.4,2077.5,4571.2,5,24576,24576,1536,26112,0,0,300,1,2026072001,2026072903,0-999,CC-C-R23-S-W128-S16-D70,STAGE13-2300,TARGET_FRAME_ERRORS_REACHED,0.1169934640522876,stage13_full_wsd_20260730,W128-S16-D70
