rateCase,candidateId,windowBits,slideBits,dtb,meanFER,meanFirstOutputDelaySymbols,meanAvgDecisionDelaySymbols,meanP95DecisionDelaySymbols,maxTotalMemoryBytes,meanACSCount,meanTracebackOperations,meanCpuUs,frames,frameErrors
R12,W128-S16-D70,128,16,70,0.22845333591046357,170.0,142.04,196.0,26112,6873883260.193548,37412352.96774194,2175.4624647780793,1012027,7678
R12,W160-S16-D70,160,16,70,0.22829828908424088,170.0,153.13333333333333,260.0,32256,7275037704.580646,32841908.451612905,2306.8025716202687,1012027,7673
R12,W192-S16-D70,192,16,70,0.22826603101972476,170.0,171.05333333333334,324.0,38400,7141319556.451612,28271463.93548387,2269.687930649282,1012027,7672
R12,W96-S16-D70,96,16,70,0.2284855939749797,170.0,137.77333333333334,168.0,19968,5937856223.290322,41982797.48387097,1885.4923094583285,1012027,7679
R23,W128-S16-D70,128,16,70,0.34592465853011867,127.0,106.28,147.0,26112,5806727770.83871,31604166.19354839,2373.861364687192,854912,11306
R23,W160-S16-D70,160,16,70,0.34569885207850576,127.0,114.6,195.0,32256,6145603856.5161295,27743273.29032258,2518.913958711003,854912,11299
R23,W192-S16-D70,192,16,70,0.3452644865071222,127.0,128.04,243.0,38400,6032645161.290322,23882380.387096774,2481.0521432537503,854912,11285
R23,W96-S16-D70,96,16,70,0.346313405687252,127.0,103.08,126.0,19968,5016016904.258064,35465059.09677419,2055.5278001716547,854912,11320
R34,W128-S16-D70,128,16,70,0.4066740032193929,113.0,94.57333333333331,130.0,26112,5168003473.935484,28127793.677419353,2150.1382798547756,760874,13230
R34,W160-S16-D70,160,16,70,0.40574326048997283,113.0,101.93333333333334,173.0,32256,5469604109.806452,24691588.51612903,2280.260821968663,760874,13198
R34,W192-S16-D70,192,16,70,0.4048057785820563,113.0,113.82666666666668,216.0,38400,5369070564.5161295,21255383.35483871,2246.1199687956005,760874,13159
R34,W96-S16-D70,96,16,70,0.40771235964623537,113.0,91.74666666666668,112.0,19968,4464268656.903226,31563998.83870968,1869.8090880773611,760874,13270
