rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,tracebackMode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,mismatchVsBlockBits,mismatchVsBlockFrames,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,tracebackOperations,ACSCount,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId
R12,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,BLOCK_FULL_TRACEBACK,306,1000,116739,1000,0.38912999999999998,1,0.38738677661542348,0.39087606269848246,0.99617324151444497,1,0,0,58752,1536,60288,306000,39168000,610,311,580,611,479.52199999999971,443.30000000000001,691.39999999999998,4405,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--5,STAGE13-REFERENCE
R12,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,CONTINUOUS_TRUNCATED_D84,84,1000,117036,1000,0.39012000000000002,1,0.38837596214376052,0.39186685181684194,0.99617324151444497,1,12295,820,16128,1536,17664,18732000,39168000,166,145.97999999999999,166,611,565.92720000000031,525.89999999999998,778.5,6616.8000000000002,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--5,STAGE13-REFERENCE
R12,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,CONTINUOUS_TRUNCATED_D112,112,1000,116886,1000,0.38962000000000002,1,0.38787637254817492,0.39136645421712629,0.99617324151444497,1,5763,503,21504,1536,23040,21840000,39168000,222,184.90000000000001,222,611,576.04659999999978,536.29999999999995,772.60000000000002,5998.1000000000004,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--5,STAGE13-REFERENCE
R12,-3,-3,0.096301674258987724,0.49019607843137253,0.99763115748443987,BLOCK_FULL_TRACEBACK,306,1000,41690,975,0.13896666666666666,0.97499999999999998,0.13773348236111435,0.14020909681837981,0.96335471073215662,0.98300986870656593,0,0,58752,1536,60288,306000,39168000,610,311,580,611,525.28650000000005,449.10000000000002,905.79999999999995,8698.1000000000004,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--3,STAGE13-REFERENCE
R12,-3,-3,0.096301674258987724,0.49019607843137253,0.99763115748443987,CONTINUOUS_TRUNCATED_D84,84,1000,41889,976,0.13963,0.97599999999999998,0.13839433458162581,0.14087489427696798,0.96453709438838853,0.98381983153336294,2623,323,16128,1536,17664,18732000,39168000,166,145.97999999999999,166,611,617.52090000000044,535.60000000000002,1008.1,4570.1000000000004,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--3,STAGE13-REFERENCE
R12,-3,-3,0.096301674258987724,0.49019607843137253,0.99763115748443987,CONTINUOUS_TRUNCATED_D112,112,1000,41713,975,0.13904333333333332,0.97499999999999998,0.13780986178102822,0.14028604876841211,0.96335471073215662,0.98300986870656593,719,112,21504,1536,23040,21840000,39168000,222,184.90000000000001,222,611,670.02110000000016,545.89999999999998,1150.3,14617.799999999999,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R12--3,STAGE13-REFERENCE
R12,-1,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,BLOCK_FULL_TRACEBACK,306,1240,1712,200,0.0046021505376344085,0.16129032258064516,0.0043897091246546385,0.004824823298930944,0.14186988850141569,0.18280288708172227,0,0,58752,1536,60288,379440,48568320,610,311,580,611,507.80419354838699,457.80000000000001,771.5,8528.5,5,2026072001,2026072903,0-1239,STAGE13-REFERENCE-R12--1,STAGE13-REFERENCE
R12,-1,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,CONTINUOUS_TRUNCATED_D84,84,1240,1712,200,0.0046021505376344085,0.16129032258064516,0.0043897091246546385,0.004824823298930944,0.14186988850141569,0.18280288708172227,0,0,16128,1536,17664,23227680,48568320,166,145.97999999999999,166,611,624.37846774193576,546.20000000000005,941.89999999999998,7531.6000000000004,5,2026072001,2026072903,0-1239,STAGE13-REFERENCE-R12--1,STAGE13-REFERENCE
R12,-1,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,CONTINUOUS_TRUNCATED_D112,112,1240,1712,200,0.0046021505376344085,0.16129032258064516,0.0043897091246546385,0.004824823298930944,0.14186988850141569,0.18280288708172227,0,0,21504,1536,23040,27081600,48568320,222,184.90000000000001,222,611,632.42475806451625,558.89999999999998,967.89999999999998,6765.5,5,2026072001,2026072903,0-1239,STAGE13-REFERENCE-R12--1,STAGE13-REFERENCE
R12,1,1,4.0963016742589877,0.49019607843137253,0.39716411736214075,BLOCK_FULL_TRACEBACK,306,50000,177,41,1.1800000000000001e-05,0.00081999999999999998,1.018497160935685e-05,1.3671119535876642e-05,0.00060454941588236784,0.0011121478680930347,0,0,58752,1536,60288,15300000,1958400000,610,311,580,611,403.5845800000007,410.5,501.30000000000001,4245.1999999999998,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R12-1,STAGE13-REFERENCE
