organization,rateCase,snrDb,FER,ferCiHigh,frames
A_BLOCK_300,R23,-5.0,1.0,1.0,1000
B_CONT_50x6,R23,-5.0,1.0,1.0,1000
C_CONT_100x3,R23,-5.0,1.0,1.0,1000
D_CONT_150x2,R23,-5.0,1.0,1.0,1000
A_BLOCK_300,R23,-4.5,1.0,1.0,1000
B_CONT_50x6,R23,-4.5,1.0,1.0,1000
C_CONT_100x3,R23,-4.5,1.0,1.0,1000
D_CONT_150x2,R23,-4.5,1.0,1.0,1000
A_BLOCK_300,R23,-4.0,1.0,1.0,1000
B_CONT_50x6,R23,-4.0,1.0,1.0,1000
C_CONT_100x3,R23,-4.0,1.0,1.0,1000
D_CONT_150x2,R23,-4.0,1.0,1.0,1000
A_BLOCK_300,R23,-3.5,1.0,1.0,1000
B_CONT_50x6,R23,-3.5,1.0,1.0,1000
C_CONT_100x3,R23,-3.5,1.0,1.0,1000
D_CONT_150x2,R23,-3.5,1.0,1.0,1000
A_BLOCK_300,R23,-3.0,1.0,1.0,1000
B_CONT_50x6,R23,-3.0,1.0,1.0,1000
C_CONT_100x3,R23,-3.0,1.0,1.0,1000
D_CONT_150x2,R23,-3.0,1.0,1.0,1000
A_BLOCK_300,R23,-2.5,1.0,1.0,1000
B_CONT_50x6,R23,-2.5,1.0,1.0,1000
C_CONT_100x3,R23,-2.5,1.0,1.0,1000
D_CONT_150x2,R23,-2.5,1.0,1.0,1000
A_BLOCK_300,R23,-2.0,1.0,1.0,1000
B_CONT_50x6,R23,-2.0,1.0,1.0,1000
C_CONT_100x3,R23,-2.0,1.0,1.0,1000
D_CONT_150x2,R23,-2.0,1.0,1.0,1000
A_BLOCK_300,R23,-1.5,0.993,0.9966051315990092,1000
B_CONT_50x6,R23,-1.5,0.994,0.9972473308581236,1000
C_CONT_100x3,R23,-1.5,0.994,0.9972473308581236,1000
D_CONT_150x2,R23,-1.5,0.994,0.9972473308581236,1000
A_BLOCK_300,R23,-1.0,0.936,0.9495637991017704,1000
B_CONT_50x6,R23,-1.0,0.94,0.953103527324068,1000
C_CONT_100x3,R23,-1.0,0.94,0.953103527324068,1000
D_CONT_150x2,R23,-1.0,0.94,0.953103527324068,1000
A_BLOCK_300,R23,-0.5,0.75,0.7758469010163086,1000
B_CONT_50x6,R23,-0.5,0.762,0.787360447524428,1000
C_CONT_100x3,R23,-0.5,0.762,0.787360447524428,1000
D_CONT_150x2,R23,-0.5,0.762,0.787360447524428,1000
A_BLOCK_300,R23,0.0,0.4759999999999999,0.5069867259789885,1000
B_CONT_50x6,R23,0.0,0.4789999999999999,0.5099835733945823,1000
C_CONT_100x3,R23,0.0,0.4789999999999999,0.5099835733945823,1000
D_CONT_150x2,R23,0.0,0.4789999999999999,0.5099835733945823,1000
A_BLOCK_300,R23,0.5,0.229,0.2560509733486457,1000
B_CONT_50x6,R23,0.5,0.23,0.2570867558619692,1000
C_CONT_100x3,R23,0.5,0.23,0.2570867558619692,1000
D_CONT_150x2,R23,0.5,0.23,0.2570867558619692,1000
A_BLOCK_300,R23,1.0,0.0881834215167548,0.1005607445328412,2268
B_CONT_50x6,R23,1.0,0.0890652557319223,0.1014933944461942,2268
C_CONT_100x3,R23,1.0,0.0890652557319223,0.1014933944461942,2268
D_CONT_150x2,R23,1.0,0.0890652557319223,0.1014933944461942,2268
A_BLOCK_300,R23,1.5,0.0280859429855357,0.0321851666606599,7121
B_CONT_50x6,R23,1.5,0.0280859429855357,0.0321851666606599,7121
C_CONT_100x3,R23,1.5,0.0280859429855357,0.0321851666606599,7121
D_CONT_150x2,R23,1.5,0.0280859429855357,0.0321851666606599,7121
A_BLOCK_300,R23,2.0,0.0067037608098143,0.0076953433326415,29834
B_CONT_50x6,R23,2.0,0.0067037608098143,0.0076953433326415,29834
C_CONT_100x3,R23,2.0,0.0067037608098143,0.0076953433326415,29834
D_CONT_150x2,R23,2.0,0.0067037608098143,0.0076953433326415,29834
A_BLOCK_300,R23,2.5,0.00158,0.0019685118079705,50000
B_CONT_50x6,R23,2.5,0.00158,0.0019685118079705,50000
C_CONT_100x3,R23,2.5,0.00158,0.0019685118079705,50000
D_CONT_150x2,R23,2.5,0.00158,0.0019685118079705,50000
A_BLOCK_300,R23,3.0,0.00024,0.0004194860715286,50000
B_CONT_50x6,R23,3.0,0.00024,0.0004194860715286,50000
C_CONT_100x3,R23,3.0,0.00024,0.0004194860715286,50000
D_CONT_150x2,R23,3.0,0.00024,0.0004194860715286,50000
A_BLOCK_300,R23,3.5,4e-05,0.0001458476169816,50000
B_CONT_50x6,R23,3.5,4e-05,0.0001458476169816,50000
C_CONT_100x3,R23,3.5,4e-05,0.0001458476169816,50000
D_CONT_150x2,R23,3.5,4e-05,0.0001458476169816,50000
A_BLOCK_300,R23,4.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,4.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,4.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,4.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,4.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,4.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,4.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,4.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,5.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,5.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,5.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,5.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,5.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,5.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,5.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,5.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,6.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,6.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,6.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,6.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,6.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,6.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,6.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,6.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,7.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,7.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,7.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,7.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,7.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,7.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,7.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,7.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,8.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,8.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,8.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,8.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,8.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,8.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,8.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,8.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,9.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,9.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,9.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,9.0,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,9.5,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,9.5,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,9.5,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,9.5,0.0,7.682327414500052e-05,50000
A_BLOCK_300,R23,10.0,0.0,7.682327414500052e-05,50000
B_CONT_50x6,R23,10.0,0.0,7.682327414500052e-05,50000
C_CONT_100x3,R23,10.0,0.0,7.682327414500052e-05,50000
D_CONT_150x2,R23,10.0,0.0,7.682327414500052e-05,50000
