organization,rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,gridLayer,stopReason
A_BLOCK_300,R12,-2.0,-2.0,1.0963016742589875,0.4901960784313725,0.7924465962305566,300,1,1000,10725,633,0.0357499999999999,0.633,0.0350915364885397,0.0364203526742711,0.6026706264751108,0.6623114557677315,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,539.1356,468.0,914.5,9802.1,5,0.1799019607843137,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-2.0,-2.0,1.0963016742589875,0.4901960784313725,0.7924465962305566,50,6,1000,10698,636,0.0356599999999999,0.636,0.0350023434439008,0.0363295480237558,0.6057107726047039,0.6652483490872249,0.038309999999999997,0.034334999999999997,1.1157710790738313,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1921.0973999999976,1723.1,2963.8,8499.399999999998,5,0.1784313725490195,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.9,-1.9,1.1963016742589878,0.4901960784313725,0.7744083094562406,300,1,1000,9182,590,0.0306066666666666,0.5899999999999999,0.029996276068716,0.0312290781450963,0.5592284411186708,0.6200827423539291,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,553.4877999999997,472.5,963.5,5167.9,5,0.2009803921568627,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.9,-1.9,1.1963016742589878,0.4901960784313725,0.7744083094562406,50,6,1000,9136,592,0.0304533333333333,0.5919999999999999,0.0298444418739364,0.0310742495999835,0.5612435983142355,0.6220522781244223,0.03236,0.029499999999999998,1.0969491525423729,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1933.4929999999983,1748.6,2967.4,6355.5,5,0.2,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.8,-1.8,1.2963016742589877,0.4901960784313725,0.7567806242181041,300,1,1000,7444,532,0.0248133333333333,0.532,0.0242627489253042,0.0253760869856178,0.5010103116491518,0.5627447758077727,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,569.6428999999996,469.0,1018.4,15951.4,5,0.2294117647058823,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.8,-1.8,1.2963016742589877,0.4901960784313725,0.7567806242181041,50,6,1000,7442,534,0.0248066666666666,0.534,0.024256155217767,0.025369347530551,0.5030108102327143,0.5647289701902679,0.026890000000000001,0.023765000000000001,1.1314958973280034,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1957.9727999999968,1759.0,3056.3,6125.9,5,0.2284313725490195,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.7,-1.7,1.3963016742589878,0.4901960784313725,0.7395541940841037,300,1,1000,6017,482,0.0200566666666666,0.4819999999999999,0.019561108700389,0.0205645156925673,0.4511584546689284,0.5129793086365515,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,545.3719000000003,470.4,966.5,5118.9,5,0.2539215686274509,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.7,-1.7,1.3963016742589878,0.4901960784313725,0.7395541940841037,50,6,1000,6010,486,0.0200333333333333,0.4859999999999999,0.0195380615681953,0.0205408967556469,0.4551352556644077,0.5169718935731877,0.021940000000000001,0.01908,1.149895178197065,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1937.6290000000013,1744.7,2994.9,7327.8,5,0.2519607843137254,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.6,-1.6,1.4963016742589876,0.4901960784313725,0.7227198853729637,300,1,1000,5162,430,0.0172066666666666,0.4299999999999999,0.0167474743010486,0.0176782230786908,0.3996409199186558,0.4608948262693218,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,558.2768000000005,468.1,1031.6,3798.6,5,0.2794117647058823,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.6,-1.6,1.4963016742589876,0.4901960784313725,0.7227198853729637,50,6,1000,5162,433,0.0172066666666666,0.433,0.0167474743010486,0.0176782230786908,0.4026038718810217,0.4639089137560426,0.01881,0.016404999999999999,1.146601645839683,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1964.6009999999997,1768.1,3021.1,10306.6,5,0.2779411764705881,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.5,-1.5,1.5963016742589875,0.4901960784313725,0.7062687723113771,300,1,1000,4257,391,0.0141899999999999,0.391,0.0137729487902231,0.0146194925111988,0.3612277495046385,0.4216064838452124,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,565.5217000000008,476.7,1014.3,3390.4,5,0.2985294117647058,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.5,-1.5,1.5963016742589875,0.4901960784313725,0.7062687723113771,50,6,1000,4279,392,0.0142633333333333,0.392,0.0138452048985276,0.0146939011915386,0.3622102251883648,0.4226163546445151,0.01555,0.01362,1.1417033773861966,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1971.7371999999991,1765.1,3083.2,12204.2,5,0.2980392156862745,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.4,-1.4,1.6963016742589878,0.4901960784313725,0.6901921323014423,300,1,1000,3527,350,0.0117566666666666,0.3499999999999999,0.0113771597361156,0.0121486772148404,0.3210627100524756,0.3800853174931908,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,544.3198999999997,470.1,1006.3,2815.3,5,0.3186274509803921,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.4,-1.4,1.6963016742589878,0.4901960784313725,0.6901921323014423,50,6,1000,3547,351,0.0118233333333333,0.3509999999999999,0.0114427467102822,0.012216421866714,0.322039577987741,0.3811007960409543,0.013089999999999999,0.01119,1.1697944593386951,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1961.3274,1732.8,3169.9,6324.8,5,0.3181372549019607,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.2999999999999998,-1.2999999999999998,1.796301674258988,0.4901960784313725,0.6744814412958267,300,1,1000,2895,303,0.00965,0.3029999999999999,0.0093064040054021,0.0100061535626847,0.2753154243219398,0.3321923185213688,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,551.0931999999998,470.6,998.6,4805.3,5,0.3416666666666666,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.2999999999999998,-1.2999999999999998,1.796301674258988,0.4901960784313725,0.6744814412958267,50,6,1000,2912,304,0.0097066666666666,0.3039999999999999,0.0093620545627724,0.0100638348874486,0.2762852693363821,0.3332148199899554,0.01098,0.0090699999999999999,1.2105843439911796,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1964.4129000000023,1765.8,3082.9,8895.7,5,0.3411764705882352,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.2,-1.2,1.896301674258988,0.4901960784313725,0.6591283692782035,300,1,1000,2435,266,0.0081166666666666,0.266,0.0078018302769608,0.0084440998922023,0.2395467232144316,0.294244199756808,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,556.7906999999999,467.0,1001.5,5025.1,5,0.3598039215686274,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.2,-1.2,1.896301674258988,0.4901960784313725,0.6591283692782035,50,6,1000,2438,267,0.0081266666666666,0.267,0.0078116340832427,0.0084542958298264,0.2405103684588787,0.2952729009953899,0.00941,0.0074850000000000003,1.2571810287241147,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,2131.2097000000003,1820.8,3682.7,17114.6,5,0.359313725490196,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.1,-1.1,1.996301674258988,0.4901960784313725,0.644124775846567,300,1,1000,1958,220,0.0065266666666666,0.22,0.0062447728818408,0.0068211980062643,0.1954234933890366,0.2467194913628742,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,624.8537999999994,478.0,1379.5,19293.2,5,0.3823529411764705,612,59776,39168000,306000,9.450510713562636e+18,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.1,-1.1,1.996301674258988,0.4901960784313725,0.644124775846567,50,6,1000,1958,220,0.0065266666666666,0.22,0.0062447728818408,0.0068211980062643,0.1954234933890366,0.2467194913628742,0.0071399999999999996,0.0062199999999999998,1.1479099678456592,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,2121.046599999999,1810.1,3982.3,12576.8,5,0.3823529411764705,612,26112,143998000,866000,5.485007781413027e+18,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-1.0,-1.0,2.096301674258988,0.4901960784313725,0.6294627058970836,300,1,1092,1672,200,0.0051037851037851,0.1831501831501831,0.0048655086336242,0.0053536678079972,0.1613332631071269,0.2071885295026307,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,578.8900183150176,469.8,1076.7,5240.7,5,0.400416576887165,612,59776,42771456,334152,1.1975849336440345e+19,2026072001,2026072904,0-1091,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-1.0,-1.0,2.096301674258988,0.4901960784313725,0.6294627058970836,50,6,1092,1672,200,0.0051037851037851,0.1831501831501831,0.0048655086336242,0.0053536678079972,0.1613332631071269,0.2071885295026307,0.006080586080586081,0.0046153846153846158,1.3174603174603174,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,2062.390109890111,1787.0,3474.5,11327.9,5,0.400416576887165,612,26112,157245816,945672,8.665677735450061e+18,2026072001,2026072904,0-1091,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-0.8999999999999999,-0.8999999999999999,2.196301674258988,0.4901960784313725,0.6151343854061907,300,1,1341,1543,200,0.0038354461844394,0.1491424310216256,0.003649120246404,0.0040312475264126,0.131079386506682,0.1692098826647391,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,560.2551826994782,467.8,1044.9,3514.2,5,0.4170870436168501,612,59776,52524288,410346,8.891336145126175e+18,2026072001,2026072904,0-1340,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-0.8999999999999999,-0.8999999999999999,2.196301674258988,0.4901960784313725,0.6151343854061907,50,6,1341,1543,200,0.0038354461844394,0.1491424310216256,0.003649120246404,0.0040312475264126,0.131079386506682,0.1692098826647391,0.0045786726323639075,0.0034638329604772559,1.3218514531754575,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,2047.3862788963445,1801.0,3367.3,9266.5,5,0.4170870436168501,612,26112,193101318,1161306,4.322357081340683e+18,2026072001,2026072904,0-1340,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-0.7999999999999998,-0.7999999999999998,2.296301674258988,0.4901960784313725,0.6011322173087063,300,1,1625,1503,200,0.0030830769230769,0.123076923076923,0.0029313178126359,0.0032426672985663,0.1079868130004171,0.1399449035173349,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,613.3869538461544,473.1,1217.4,14887.9,5,0.4298642533936651,612,59776,63648000,497250,1.336827623807733e+18,2026072001,2026072904,0-1624,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-0.7999999999999998,-0.7999999999999998,2.296301674258988,0.4901960784313725,0.6011322173087063,50,6,1625,1503,200,0.0030830769230769,0.123076923076923,0.0029313178126359,0.0032426672985663,0.1079868130004171,0.1399449035173349,0.0033353846153846155,0.002956923076923077,1.1279916753381893,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,2122.559076923076,1840.1,3589.7,15299.0,5,0.4298642533936651,612,26112,233996750,1407250,2.1030117233459528e+18,2026072001,2026072904,0-1624,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,TARGET_ERRORS_REACHED
