rateCase,organization,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,peakRxBufferSymbols,totalMemoryBytes,ACSCount,tracebackOperations,outputBatchCount,fullFrameLastDecisionSymbol
R12,A_BLOCK_300,610.0,311.0,580.0,612.0,59776.0,802238976.0,6267492.0,1.0,611.0
R12,B_CONT_50x6,298.0,231.0,342.0,362.0,26112.0,2949367036.0,17737412.0,9.0,611.0
R12,C_CONT_100x3,398.0,258.0,430.0,462.0,26112.0,2949367036.0,17737412.0,9.0,611.0
R12,D_CONT_150x2,298.0,285.0,530.0,562.0,26112.0,2949367036.0,17737412.0,9.0,611.0
R23,A_BLOCK_300,457.0,233.0,435.0,459.0,59776.0,42575616.0,332622.0,1.0,458.0
R23,B_CONT_50x6,223.0,173.0,256.0,272.0,26112.0,156525826.0,1184830.0,9.0,458.0
R23,C_CONT_100x3,298.0,193.25,322.0,347.0,26112.0,156525826.0,1184830.0,9.0,458.0
R23,D_CONT_150x2,223.0,213.5,397.0,422.0,26112.0,156525826.0,1184830.0,9.0,458.0
R34,A_BLOCK_300,406.0,207.0,386.0,408.0,59776.0,39168000.0,306000.0,1.0,407.0
R34,B_CONT_50x6,265.0,171.16666666666666,262.0,275.0,32256.0,142206000.0,1062000.0,7.0,407.0
R34,C_CONT_100x3,265.0,183.5,320.0,342.0,32256.0,142206000.0,1062000.0,7.0,407.0
R34,D_CONT_150x2,406.0,207.0,386.0,408.0,32256.0,142206000.0,1062000.0,7.0,407.0
