organization,relativeOffset,bitErrors,bits,BER
B_CONT_50x6,-10,8123,5064440,0.001603928568607783
B_CONT_50x6,-9,8108,5064440,0.0016009667406465472
B_CONT_50x6,-8,8151,5064440,0.0016094573141354227
B_CONT_50x6,-7,8177,5064440,0.001614591149268231
B_CONT_50x6,-6,8197,5064440,0.001618540253216545
B_CONT_50x6,-5,8134,5064440,0.0016061005757793557
B_CONT_50x6,-4,8325,5064440,0.0016438145184857556
B_CONT_50x6,-3,8259,5064440,0.001630782475456319
B_CONT_50x6,-2,8085,5064440,0.001596425271105986
B_CONT_50x6,-1,8057,5064440,0.0015908965255783463
B_CONT_50x6,0,8227,5064440,0.0016244639091390163
B_CONT_50x6,1,8067,5064440,0.0015928710775525033
B_CONT_50x6,2,8019,5064440,0.0015833932280765494
B_CONT_50x6,3,8150,5064440,0.001609259858938007
B_CONT_50x6,4,7969,5064440,0.0015735204682057642
B_CONT_50x6,5,8247,5064440,0.0016284130130873305
B_CONT_50x6,6,8187,5064440,0.001616565701242388
B_CONT_50x6,7,8173,5064440,0.0016138013284785681
B_CONT_50x6,8,8056,5064440,0.0015906990703809306
B_CONT_50x6,9,8187,5064440,0.001616565701242388
C_CONT_100x3,-10,3295,2025776,0.0016265371887118814
C_CONT_100x3,-9,3271,2025776,0.001614689876866939
C_CONT_100x3,-8,3401,2025776,0.0016788628160270434
C_CONT_100x3,-7,3254,2025776,0.0016062980309767714
C_CONT_100x3,-6,3353,2025776,0.0016551681923371586
C_CONT_100x3,-5,3306,2025776,0.0016319672066408132
C_CONT_100x3,-4,3414,2025776,0.001685280109943054
C_CONT_100x3,-3,3311,2025776,0.0016344353966085095
C_CONT_100x3,-2,3263,2025776,0.0016107407729186248
C_CONT_100x3,-1,3297,2025776,0.0016275244646989599
C_CONT_100x3,0,3373,2025776,0.001665040952207944
C_CONT_100x3,1,3240,2025776,0.0015993870990672217
C_CONT_100x3,2,3358,2025776,0.001657636382304855
C_CONT_100x3,3,3291,2025776,0.0016245626367377241
C_CONT_100x3,4,3226,2025776,0.0015924761671576718
C_CONT_100x3,5,3381,2025776,0.0016689900561562582
C_CONT_100x3,6,3274,2025776,0.0016161707908475566
C_CONT_100x3,7,3269,2025776,0.0016137026008798603
C_CONT_100x3,8,3232,2025776,0.0015954379951189075
C_CONT_100x3,9,3271,2025776,0.001614689876866939
D_CONT_150x2,-10,1620,1012888,0.0015993870990672217
D_CONT_150x2,-9,1603,1012888,0.0015826034072868866
D_CONT_150x2,-8,1573,1012888,0.0015529851276745307
D_CONT_150x2,-7,1689,1012888,0.0016675091421756404
D_CONT_150x2,-6,1686,1012888,0.0016645473142144047
D_CONT_150x2,-5,1643,1012888,0.0016220944467700278
D_CONT_150x2,-4,1777,1012888,0.001754389429038551
D_CONT_150x2,-3,1634,1012888,0.0016132089628863211
D_CONT_150x2,-2,1646,1012888,0.0016250562747312635
D_CONT_150x2,-1,1655,1012888,0.0016339417586149702
D_CONT_150x2,0,1614,1012888,0.0015934634431447505
D_CONT_150x2,1,1595,1012888,0.0015747051993902585
D_CONT_150x2,2,1516,1012888,0.0014967103964110544
D_CONT_150x2,3,1640,1012888,0.0016191326188087923
D_CONT_150x2,4,1549,1012888,0.0015292905039846459
D_CONT_150x2,5,1626,1012888,0.001605310754989693
D_CONT_150x2,6,1615,1012888,0.001594450719131829
D_CONT_150x2,7,1612,1012888,0.0015914888911705933
D_CONT_150x2,8,1642,1012888,0.0016211071707829493
D_CONT_150x2,9,1672,1012888,0.0016507254503953053
