rateCase,organization,receivedSymbolIndex,cumulativeDecodedPayloadBits,basis
R23,B_CONT_50x6,223.0,33.333333333333336,persisted aggregate output-event metrics
R23,B_CONT_50x6,252.375,66.66666666666667,persisted aggregate output-event metrics
R23,B_CONT_50x6,281.75,100.0,persisted aggregate output-event metrics
R23,B_CONT_50x6,311.125,133.33333333333334,persisted aggregate output-event metrics
R23,B_CONT_50x6,340.5,166.66666666666669,persisted aggregate output-event metrics
R23,B_CONT_50x6,369.875,200.00000000000003,persisted aggregate output-event metrics
R23,B_CONT_50x6,399.25,233.33333333333334,persisted aggregate output-event metrics
R23,B_CONT_50x6,428.625,266.6666666666667,persisted aggregate output-event metrics
R23,B_CONT_50x6,458.0,300.0,persisted aggregate output-event metrics
R23,C_CONT_100x3,298.0,33.333333333333336,persisted aggregate output-event metrics
R23,C_CONT_100x3,318.0,66.66666666666667,persisted aggregate output-event metrics
R23,C_CONT_100x3,338.0,100.0,persisted aggregate output-event metrics
R23,C_CONT_100x3,358.0,133.33333333333334,persisted aggregate output-event metrics
R23,C_CONT_100x3,378.0,166.66666666666669,persisted aggregate output-event metrics
R23,C_CONT_100x3,398.0,200.00000000000003,persisted aggregate output-event metrics
R23,C_CONT_100x3,418.0,233.33333333333334,persisted aggregate output-event metrics
R23,C_CONT_100x3,438.0,266.6666666666667,persisted aggregate output-event metrics
R23,C_CONT_100x3,458.0,300.0,persisted aggregate output-event metrics
R23,D_CONT_150x2,223.0,33.333333333333336,persisted aggregate output-event metrics
R23,D_CONT_150x2,252.375,66.66666666666667,persisted aggregate output-event metrics
R23,D_CONT_150x2,281.75,100.0,persisted aggregate output-event metrics
R23,D_CONT_150x2,311.125,133.33333333333334,persisted aggregate output-event metrics
R23,D_CONT_150x2,340.5,166.66666666666669,persisted aggregate output-event metrics
R23,D_CONT_150x2,369.875,200.00000000000003,persisted aggregate output-event metrics
R23,D_CONT_150x2,399.25,233.33333333333334,persisted aggregate output-event metrics
R23,D_CONT_150x2,428.625,266.6666666666667,persisted aggregate output-event metrics
R23,D_CONT_150x2,458.0,300.0,persisted aggregate output-event metrics
