organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer,decisionMode
B_CONT_50x6,R12,-5.0,-10,2065,5000,0.413,0.399424,0.426709,coarse,Soft Float
B_CONT_50x6,R12,-5.0,-9,2037,5000,0.4074,0.393857,0.421085,coarse,Soft Float
B_CONT_50x6,R12,-5.0,-8,2107,5000,0.4214,0.407779,0.435142,coarse,Soft Float
B_CONT_50x6,R12,-5.0,-7,2077,5000,0.4154,0.401811,0.429119,coarse,Soft Float
B_CONT_50x6,R12,-5.0,-6,2092,5000,0.4184,0.404795,0.432131,coarse,Soft Float
B_CONT_50x6,R12,-5.0,-5,2079,5000,0.4158,0.402209,0.429521,coarse,Soft Float
B_CONT_50x6,R12,-5.0,-4,2086,5000,0.4172,0.403601,0.430926,coarse,Soft Float
B_CONT_50x6,R12,-5.0,-3,2089,5000,0.4178,0.404198,0.431528,coarse,Soft Float
B_CONT_50x6,R12,-5.0,-2,2070,5000,0.414,0.400419,0.427713,coarse,Soft Float
B_CONT_50x6,R12,-5.0,-1,2046,5000,0.4092,0.395646,0.422893,coarse,Soft Float
B_CONT_50x6,R12,-5.0,0,2118,5000,0.4236,0.409967,0.43735,coarse,Soft Float
B_CONT_50x6,R12,-5.0,1,2057,5000,0.4114,0.397833,0.425103,coarse,Soft Float
B_CONT_50x6,R12,-5.0,2,2104,5000,0.4208,0.407182,0.43454,coarse,Soft Float
B_CONT_50x6,R12,-5.0,3,2081,5000,0.4162,0.402606,0.429922,coarse,Soft Float
B_CONT_50x6,R12,-5.0,4,2039,5000,0.4078,0.394254,0.421487,coarse,Soft Float
B_CONT_50x6,R12,-5.0,5,2122,5000,0.4244,0.410763,0.438153,coarse,Soft Float
B_CONT_50x6,R12,-5.0,6,2128,5000,0.4256,0.411958,0.439357,coarse,Soft Float
B_CONT_50x6,R12,-5.0,7,2090,5000,0.418,0.404397,0.431729,coarse,Soft Float
B_CONT_50x6,R12,-5.0,8,2050,5000,0.41,0.396441,0.423697,coarse,Soft Float
B_CONT_50x6,R12,-5.0,9,2079,5000,0.4158,0.402209,0.429521,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-10,827,2000,0.4135,0.392103,0.435228,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-9,827,2000,0.4135,0.392103,0.435228,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-8,868,2000,0.434,0.412426,0.455827,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-7,807,2000,0.4035,0.382204,0.425166,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-6,849,2000,0.4245,0.403003,0.446286,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-5,842,2000,0.421,0.399534,0.442769,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-4,862,2000,0.431,0.409449,0.452815,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-3,835,2000,0.4175,0.396066,0.439251,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-2,822,2000,0.411,0.389627,0.432714,coarse,Soft Float
C_CONT_100x3,R12,-5.0,-1,819,2000,0.4095,0.388142,0.431205,coarse,Soft Float
C_CONT_100x3,R12,-5.0,0,873,2000,0.4365,0.414907,0.458337,coarse,Soft Float
C_CONT_100x3,R12,-5.0,1,815,2000,0.4075,0.386162,0.429192,coarse,Soft Float
C_CONT_100x3,R12,-5.0,2,890,2000,0.445,0.423346,0.466865,coarse,Soft Float
C_CONT_100x3,R12,-5.0,3,848,2000,0.424,0.402508,0.445784,coarse,Soft Float
C_CONT_100x3,R12,-5.0,4,833,2000,0.4165,0.395075,0.438245,coarse,Soft Float
C_CONT_100x3,R12,-5.0,5,862,2000,0.431,0.409449,0.452815,coarse,Soft Float
C_CONT_100x3,R12,-5.0,6,854,2000,0.427,0.405482,0.448798,coarse,Soft Float
C_CONT_100x3,R12,-5.0,7,843,2000,0.4215,0.400029,0.443272,coarse,Soft Float
C_CONT_100x3,R12,-5.0,8,834,2000,0.417,0.39557,0.438748,coarse,Soft Float
C_CONT_100x3,R12,-5.0,9,806,2000,0.403,0.381709,0.424663,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-10,436,1000,0.436,0.405568,0.466922,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-9,409,1000,0.409,0.378932,0.439764,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-8,421,1000,0.421,0.390759,0.451846,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-7,426,1000,0.426,0.395692,0.456874,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-6,437,1000,0.437,0.406556,0.467926,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-5,415,1000,0.415,0.384843,0.445807,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-4,441,1000,0.441,0.410511,0.471941,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-3,406,1000,0.406,0.375979,0.436741,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-2,423,1000,0.423,0.392732,0.453858,coarse,Soft Float
D_CONT_150x2,R12,-5.0,-1,405,1000,0.405,0.374994,0.435733,coarse,Soft Float
D_CONT_150x2,R12,-5.0,0,409,1000,0.409,0.378932,0.439764,coarse,Soft Float
D_CONT_150x2,R12,-5.0,1,407,1000,0.407,0.376963,0.437749,coarse,Soft Float
D_CONT_150x2,R12,-5.0,2,396,1000,0.396,0.366141,0.426655,coarse,Soft Float
D_CONT_150x2,R12,-5.0,3,416,1000,0.416,0.385829,0.446814,coarse,Soft Float
D_CONT_150x2,R12,-5.0,4,388,1000,0.388,0.358281,0.418576,coarse,Soft Float
D_CONT_150x2,R12,-5.0,5,423,1000,0.423,0.392732,0.453858,coarse,Soft Float
D_CONT_150x2,R12,-5.0,6,428,1000,0.428,0.397666,0.458885,coarse,Soft Float
D_CONT_150x2,R12,-5.0,7,407,1000,0.407,0.376963,0.437749,coarse,Soft Float
D_CONT_150x2,R12,-5.0,8,400,1000,0.4,0.370075,0.430691,coarse,Soft Float
D_CONT_150x2,R12,-5.0,9,430,1000,0.43,0.399641,0.460895,coarse,Soft Float
