organization,rateCase,decisionMode,windowBits,slideBits,dtb,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,gridLayer,stopReason
A_BLOCK_300,R12,Hard,306,300,306,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,300,1,1000,138425,1000,0.4614166666666666,1.0,0.4596333129295768,0.4632010084996784,0.9961732415144448,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,297.9423,300.6,386.4,1060.8,5,0.0,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
B_CONT_50x6,R12,Hard,128,25,70,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,50,6,1000,138397,1000,0.4613233333333333,1.0,0.4595400066717286,0.4631076504810704,0.9961732415144448,1.0,0.47345999999999999,0.45525500000000002,1.0399885778300073,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1366.407,1388.2,1761.6,3111.9,5,0.0,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
C_CONT_100x3,R12,Hard,128,25,70,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,100,3,1000,138397,1000,0.4613233333333333,1.0,0.4595400066717286,0.4631076504810704,0.9961732415144448,1.0,0.47387499999999999,0.45939230769230771,1.0315257614574438,398,258.0,280,430,460,611,212.0,212,9,2,9,462,354.0,1364.0589000000032,1380.0,1772.5,3728.2,5,0.0,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
D_CONT_150x2,R12,Hard,128,25,70,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,150,2,1000,138397,1000,0.4613233333333333,1.0,0.4595400066717286,0.4631076504810704,0.9961732415144448,1.0,0.47875000000000001,0.46007857142857145,1.0405831302106783,298,285.0,280,530,560,611,312.0,312,9,2,9,562,431.0,1361.533600000001,1376.3,1734.7,4768.5,5,0.0,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
A_BLOCK_300,R12,Hard,306,300,306,-4.5,-4.5,-1.4036983257410125,0.4901960784313725,1.4091914656322269,300,1,1000,133552,1000,0.4451733333333333,1.0,0.4433956415096682,0.4469524292349012,0.9961732415144448,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,303.91879999999986,301.6,401.7,1980.6,5,0.0,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
B_CONT_50x6,R12,Hard,128,25,70,-4.5,-4.5,-1.4036983257410125,0.4901960784313725,1.4091914656322269,50,6,1000,133613,1000,0.4453766666666666,1.0,0.4435988921231646,0.4471558400808273,0.9961732415144448,1.0,0.46065,0.43774000000000002,1.0523370037008268,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1354.6735,1385.8,1724.3,2682.5,5,0.0,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
C_CONT_100x3,R12,Hard,128,25,70,-4.5,-4.5,-1.4036983257410125,0.4901960784313725,1.4091914656322269,100,3,1000,133613,1000,0.4453766666666666,1.0,0.4435988921231646,0.4471558400808273,0.9961732415144448,1.0,0.4612,0.44294230769230769,1.0412191203924803,398,258.0,280,430,460,611,212.0,212,9,2,9,462,354.0,1360.7373999999993,1377.3,1756.8,7498.3,5,0.0,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
D_CONT_150x2,R12,Hard,128,25,70,-4.5,-4.5,-1.4036983257410125,0.4901960784313725,1.4091914656322269,150,2,1000,133613,1000,0.4453766666666666,1.0,0.4435988921231646,0.4471558400808273,0.9961732415144448,1.0,0.47044999999999998,0.44358571428571431,1.060561656629416,298,285.0,280,530,560,611,312.0,312,9,2,9,562,431.0,1370.5678000000007,1379.3,1784.7,4601.3,5,0.0,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
A_BLOCK_300,R12,Hard,306,300,306,-4.0,-4.0,-0.9036983257410122,0.4901960784313725,1.2559432157547905,300,1,1000,127649,1000,0.4254966666666666,1.0,0.4237284118067743,0.4272668295120408,0.9961732415144448,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,303.3826000000002,302.2,401.7,1869.5,5,0.0,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
B_CONT_50x6,R12,Hard,128,25,70,-4.0,-4.0,-0.9036983257410122,0.4901960784313725,1.2559432157547905,50,6,1000,127609,1000,0.4253633333333333,1.0,0.4235951521416055,0.4271334259251293,0.9961732415144448,1.0,0.43912000000000001,0.418485,1.0493088163255553,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1377.2956000000022,1390.4,1836.1,3827.6,5,0.0,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_FRAME_ERRORS_REACHED
