organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R23,-5,-10,2371,5000,0.4742,0.460385,0.488055,coarse
B_CONT_50x6,R23,-5,-9,2439,5000,0.4878,0.47396,0.501659,coarse
B_CONT_50x6,R23,-5,-8,2498,5000,0.4996,0.485747,0.513454,coarse
B_CONT_50x6,R23,-5,-7,2409,5000,0.4818,0.467969,0.495659,coarse
B_CONT_50x6,R23,-5,-6,2448,5000,0.4896,0.475757,0.503459,coarse
B_CONT_50x6,R23,-5,-5,2440,5000,0.488,0.474159,0.501859,coarse
B_CONT_50x6,R23,-5,-4,2480,5000,0.496,0.48215,0.509856,coarse
B_CONT_50x6,R23,-5,-3,2495,5000,0.499,0.485147,0.512854,coarse
B_CONT_50x6,R23,-5,-2,2439,5000,0.4878,0.47396,0.501659,coarse
B_CONT_50x6,R23,-5,-1,2465,5000,0.493,0.479153,0.506858,coarse
B_CONT_50x6,R23,-5,0,2462,5000,0.4924,0.478554,0.506258,coarse
B_CONT_50x6,R23,-5,1,2426,5000,0.4852,0.471364,0.499059,coarse
B_CONT_50x6,R23,-5,2,2430,5000,0.486,0.472162,0.499859,coarse
B_CONT_50x6,R23,-5,3,2416,5000,0.4832,0.469367,0.497059,coarse
B_CONT_50x6,R23,-5,4,2432,5000,0.4864,0.472562,0.500259,coarse
B_CONT_50x6,R23,-5,5,2409,5000,0.4818,0.467969,0.495659,coarse
B_CONT_50x6,R23,-5,6,2465,5000,0.493,0.479153,0.506858,coarse
B_CONT_50x6,R23,-5,7,2389,5000,0.4778,0.463977,0.491657,coarse
B_CONT_50x6,R23,-5,8,2476,5000,0.4952,0.481351,0.509057,coarse
B_CONT_50x6,R23,-5,9,2370,5000,0.474,0.460185,0.487855,coarse
C_CONT_100x3,R23,-5,-10,971,2000,0.4855,0.463645,0.507411,coarse
C_CONT_100x3,R23,-5,-9,960,2000,0.48,0.458164,0.501913,coarse
C_CONT_100x3,R23,-5,-8,1013,2000,0.5065,0.484597,0.528378,coarse
C_CONT_100x3,R23,-5,-7,982,2000,0.491,0.469129,0.512906,coarse
C_CONT_100x3,R23,-5,-6,972,2000,0.486,0.464143,0.50791,coarse
C_CONT_100x3,R23,-5,-5,969,2000,0.4845,0.462648,0.506411,coarse
C_CONT_100x3,R23,-5,-4,1000,2000,0.5,0.478108,0.521892,coarse
C_CONT_100x3,R23,-5,-3,1016,2000,0.508,0.486095,0.529874,coarse
C_CONT_100x3,R23,-5,-2,960,2000,0.48,0.458164,0.501913,coarse
C_CONT_100x3,R23,-5,-1,988,2000,0.494,0.472121,0.515902,coarse
C_CONT_100x3,R23,-5,0,1030,2000,0.515,0.493089,0.536853,coarse
C_CONT_100x3,R23,-5,1,1036,2000,0.518,0.496088,0.539843,coarse
C_CONT_100x3,R23,-5,2,964,2000,0.482,0.460157,0.503912,coarse
C_CONT_100x3,R23,-5,3,954,2000,0.477,0.455175,0.498913,coarse
C_CONT_100x3,R23,-5,4,972,2000,0.486,0.464143,0.50791,coarse
C_CONT_100x3,R23,-5,5,984,2000,0.492,0.470126,0.513905,coarse
C_CONT_100x3,R23,-5,6,957,2000,0.4785,0.456669,0.500413,coarse
C_CONT_100x3,R23,-5,7,991,2000,0.4955,0.473617,0.5174,coarse
C_CONT_100x3,R23,-5,8,1020,2000,0.51,0.488093,0.531869,coarse
C_CONT_100x3,R23,-5,9,955,2000,0.4775,0.455673,0.499413,coarse
D_CONT_150x2,R23,-5,-10,453,1000,0.453,0.422386,0.483974,coarse
D_CONT_150x2,R23,-5,-9,490,1000,0.49,0.459114,0.520963,coarse
D_CONT_150x2,R23,-5,-8,470,1000,0.47,0.43924,0.50099,coarse
D_CONT_150x2,R23,-5,-7,478,1000,0.478,0.447184,0.508985,coarse
D_CONT_150x2,R23,-5,-6,477,1000,0.477,0.44619,0.507986,coarse
D_CONT_150x2,R23,-5,-5,485,1000,0.485,0.454141,0.515974,coarse
D_CONT_150x2,R23,-5,-4,506,1000,0.506,0.475049,0.536905,coarse
D_CONT_150x2,R23,-5,-3,500,1000,0.5,0.46907,0.53093,coarse
D_CONT_150x2,R23,-5,-2,479,1000,0.479,0.448177,0.509984,coarse
D_CONT_150x2,R23,-5,-1,495,1000,0.495,0.46409,0.525948,coarse
D_CONT_150x2,R23,-5,0,489,1000,0.489,0.458119,0.519965,coarse
D_CONT_150x2,R23,-5,1,463,1000,0.463,0.432296,0.493988,coarse
D_CONT_150x2,R23,-5,2,492,1000,0.492,0.461104,0.522957,coarse
D_CONT_150x2,R23,-5,3,484,1000,0.484,0.453147,0.514976,coarse
D_CONT_150x2,R23,-5,4,498,1000,0.498,0.467078,0.528938,coarse
D_CONT_150x2,R23,-5,5,488,1000,0.488,0.457124,0.518967,coarse
D_CONT_150x2,R23,-5,6,500,1000,0.5,0.46907,0.53093,coarse
D_CONT_150x2,R23,-5,7,473,1000,0.473,0.442218,0.503989,coarse
D_CONT_150x2,R23,-5,8,468,1000,0.468,0.437255,0.49899,coarse
D_CONT_150x2,R23,-5,9,476,1000,0.476,0.445197,0.506987,coarse
