organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R12,-1.8,-10,135,5000,0.027,0.0228576,0.0318687,dense
B_CONT_50x6,R12,-1.8,-9,136,5000,0.0272,0.0230413,0.0320846,dense
B_CONT_50x6,R12,-1.8,-8,122,5000,0.0244,0.0204746,0.0290556,dense
B_CONT_50x6,R12,-1.8,-7,137,5000,0.0274,0.0232252,0.0323005,dense
B_CONT_50x6,R12,-1.8,-6,149,5000,0.0298,0.0254359,0.034886,dense
B_CONT_50x6,R12,-1.8,-5,132,5000,0.0264,0.0223066,0.0312205,dense
B_CONT_50x6,R12,-1.8,-4,125,5000,0.025,0.0210235,0.0297058,dense
B_CONT_50x6,R12,-1.8,-3,138,5000,0.0276,0.0234091,0.0325163,dense
B_CONT_50x6,R12,-1.8,-2,141,5000,0.0282,0.0239611,0.0331633,dense
B_CONT_50x6,R12,-1.8,-1,138,5000,0.0276,0.0234091,0.0325163,dense
B_CONT_50x6,R12,-1.8,0,135,5000,0.027,0.0228576,0.0318687,dense
B_CONT_50x6,R12,-1.8,1,136,5000,0.0272,0.0230413,0.0320846,dense
B_CONT_50x6,R12,-1.8,2,128,5000,0.0256,0.021573,0.0303554,dense
B_CONT_50x6,R12,-1.8,3,140,5000,0.028,0.023777,0.0329477,dense
B_CONT_50x6,R12,-1.8,4,133,5000,0.0266,0.0224902,0.0314367,dense
B_CONT_50x6,R12,-1.8,5,138,5000,0.0276,0.0234091,0.0325163,dense
B_CONT_50x6,R12,-1.8,6,140,5000,0.028,0.023777,0.0329477,dense
B_CONT_50x6,R12,-1.8,7,126,5000,0.0252,0.0212066,0.0299224,dense
B_CONT_50x6,R12,-1.8,8,140,5000,0.028,0.023777,0.0329477,dense
B_CONT_50x6,R12,-1.8,9,120,5000,0.024,0.0201091,0.0286217,dense
