organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh
B_CONT_50x6,R12,-5,-10,1,5,0.2,0.0362241,0.624465
B_CONT_50x6,R12,-5,-9,2,5,0.4,0.117621,0.769276
B_CONT_50x6,R12,-5,-8,4,5,0.8,0.375535,0.963776
B_CONT_50x6,R12,-5,-7,1,5,0.2,0.0362241,0.624465
B_CONT_50x6,R12,-5,-6,1,5,0.2,0.0362241,0.624465
B_CONT_50x6,R12,-5,-5,3,5,0.6,0.230724,0.882379
B_CONT_50x6,R12,-5,-4,2,5,0.4,0.117621,0.769276
B_CONT_50x6,R12,-5,-3,3,5,0.6,0.230724,0.882379
B_CONT_50x6,R12,-5,-2,1,5,0.2,0.0362241,0.624465
B_CONT_50x6,R12,-5,-1,2,5,0.4,0.117621,0.769276
B_CONT_50x6,R12,-5,0,4,5,0.8,0.375535,0.963776
B_CONT_50x6,R12,-5,1,2,5,0.4,0.117621,0.769276
B_CONT_50x6,R12,-5,2,1,5,0.2,0.0362241,0.624465
B_CONT_50x6,R12,-5,3,1,5,0.2,0.0362241,0.624465
B_CONT_50x6,R12,-5,4,3,5,0.6,0.230724,0.882379
B_CONT_50x6,R12,-5,5,0,5,0,0,0.434482
B_CONT_50x6,R12,-5,6,2,5,0.4,0.117621,0.769276
B_CONT_50x6,R12,-5,7,2,5,0.4,0.117621,0.769276
B_CONT_50x6,R12,-5,8,3,5,0.6,0.230724,0.882379
B_CONT_50x6,R12,-5,9,1,5,0.2,0.0362241,0.624465
C_CONT_100x3,R12,-5,-10,0,2,0,0,0.65762
C_CONT_100x3,R12,-5,-9,1,2,0.5,0.0945312,0.905469
C_CONT_100x3,R12,-5,-8,2,2,1,0.34238,1
C_CONT_100x3,R12,-5,-7,1,2,0.5,0.0945312,0.905469
C_CONT_100x3,R12,-5,-6,0,2,0,0,0.65762
C_CONT_100x3,R12,-5,-5,1,2,0.5,0.0945312,0.905469
C_CONT_100x3,R12,-5,-4,2,2,1,0.34238,1
C_CONT_100x3,R12,-5,-3,2,2,1,0.34238,1
C_CONT_100x3,R12,-5,-2,1,2,0.5,0.0945312,0.905469
C_CONT_100x3,R12,-5,-1,1,2,0.5,0.0945312,0.905469
C_CONT_100x3,R12,-5,0,2,2,1,0.34238,1
C_CONT_100x3,R12,-5,1,1,2,0.5,0.0945312,0.905469
C_CONT_100x3,R12,-5,2,1,2,0.5,0.0945312,0.905469
C_CONT_100x3,R12,-5,3,0,2,0,0,0.65762
C_CONT_100x3,R12,-5,4,2,2,1,0.34238,1
C_CONT_100x3,R12,-5,5,0,2,0,0,0.65762
C_CONT_100x3,R12,-5,6,1,2,0.5,0.0945312,0.905469
C_CONT_100x3,R12,-5,7,2,2,1,0.34238,1
C_CONT_100x3,R12,-5,8,2,2,1,0.34238,1
C_CONT_100x3,R12,-5,9,0,2,0,0,0.65762
D_CONT_150x2,R12,-5,-10,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,-9,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,-8,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,-7,0,1,0,0,0.793451
D_CONT_150x2,R12,-5,-6,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,-5,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,-4,0,1,0,0,0.793451
D_CONT_150x2,R12,-5,-3,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,-2,0,1,0,0,0.793451
D_CONT_150x2,R12,-5,-1,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,0,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,1,0,1,0,0,0.793451
D_CONT_150x2,R12,-5,2,0,1,0,0,0.793451
D_CONT_150x2,R12,-5,3,0,1,0,0,0.793451
D_CONT_150x2,R12,-5,4,0,1,0,0,0.793451
D_CONT_150x2,R12,-5,5,0,1,0,0,0.793451
D_CONT_150x2,R12,-5,6,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,7,0,1,0,0,0.793451
D_CONT_150x2,R12,-5,8,1,1,1,0.206549,1
D_CONT_150x2,R12,-5,9,1,1,1,0.206549,1
