schemeId,rate,decisionMode,quantMode,quantBits,tracebackMode,dtb,window,slide,organization,snrDb,actualRate,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,normalizedGoodput,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,p95DecodeTimeUs,inputMemoryBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,peakRxBufferSymbols,ACSCount,tracebackOperations,windowTriggerCount,sourceStage,sourceCsv,sourceRowId,sourceHash
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-5.0,0.4901960784313725,1000,118759,1000,0.3958633333333333,1.0,0.3941147191683744,0.3976146143755881,0.996173241514445,1.0,0.0,,,,,329.81250000000006,544.8,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-001,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-4.5,0.4901960784313725,1000,104841,1000,0.34947,1.0,0.3477657524879174,0.3511781024946953,0.996173241514445,1.0,0.0,,,,,345.6924000000004,603.9,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-003,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-4.0,0.4901960784313725,1000,86816,1000,0.2893866666666666,1.0,0.2877666523671949,0.2910120746467203,0.996173241514445,1.0,0.0,,,,,341.45939999999973,534.3,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-005,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-3.5,0.4901960784313725,1000,64994,996,0.2166466666666666,0.996,0.215176147719865,0.2181244421216277,0.9897604437227376,0.9984434118595916,0.0019607843137254,,,,,338.69850000000014,494.4,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-007,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-3.0,0.4901960784313725,1000,42860,974,0.1428666666666666,0.974,0.1416190294787327,0.144123449824111,0.96217617115731,0.9821960617983836,0.0127450980392156,,,,,346.9884,518.2,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-009,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-2.5,0.4901960784313725,1000,24497,896,0.0816566666666666,0.896,0.0806821058793085,0.082641940974759,0.8755402353777084,0.913428971901732,0.0509803921568627,,,,,336.80869999999976,549.1,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-011,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-2.0,0.4901960784313725,5000,53049,3249,0.035366,0.6498,0.0350716067582569,0.0356627730654853,0.6364671523835911,0.6629028441136698,0.1716666666666666,,,,,519.2941400000001,1061.9,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-011,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-1.8,0.4901960784313725,5000,36397,2675,0.0242646666666666,0.535,0.024019643988328,0.0245121260290217,0.5211533701823646,0.5487928906814815,0.2279411764705882,,,,,502.87155999999857,1033.4,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-012,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-1.6,0.4901960784313725,5000,25171,2135,0.0167806666666666,0.4269999999999999,0.0165763437127168,0.0169874646371718,0.4133506585066844,0.440761425977294,0.2808823529411764,,,,,494.5933200000008,903.7,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-013,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-1.5,0.4901960784313725,1000,4286,371,0.0142866666666666,0.371,0.0138681960844556,0.0147175760747246,0.341606326344111,0.4013809773451622,0.3083333333333333,,,,,359.1064000000007,571.1,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-015,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
