rateCase,quantMode,targetFer,leftSnr,leftFer,rightSnr,rightFer,interpolatedSnr,interpolationMethod,coveredByData,snrLossVsFloat
R12,Q3,0.1,-0.5,0.1091872791519434,0.0,0.0344793713163064,-0.4618746752868165,linear_in_log10_FER,YES,0.2600917267130584
R12,Q4,0.1,-1.0,0.1994657168299198,-0.5,0.0805653710247349,-0.6191857463900258,linear_in_log10_FER,YES,0.1027806556098491
R12,Q5,0.1,-0.7,0.1075372059529524,-0.5999999999999999,0.0876267748478701,-0.6645095966380421,linear_in_log10_FER,YES,0.0574568053618328
R12,Q6,0.1,-0.7,0.1118578972635621,-0.5999999999999999,0.0888438133874239,-0.6513525451351281,linear_in_log10_FER,YES,0.0706138568647468
R12,Q7,0.1,-0.7999999999999998,0.1166955517042172,-0.7,0.0974555928948631,-0.7143049007664933,linear_in_log10_FER,YES,0.0076615012333816
R12,Q8,0.1,-0.7999999999999998,0.1178509532062391,-0.7,0.0969755160825732,-0.715752619542688,linear_in_log10_FER,YES,0.0062137824571869
R23,Q3,0.1,1.0,0.1616871704745167,1.5,0.0616508400292184,1.2491728447656234,linear_in_log10_FER,YES,0.3102749931490621
R23,Q4,0.1,1.0,0.1045694200351493,1.5,0.0336011687363038,1.0196782140809997,linear_in_log10_FER,YES,0.0807803624644382
R23,Q5,0.1,0.9000000000000001,0.1145494028230184,1.0,0.0891915641476274,0.9542866895825568,linear_in_log10_FER,YES,0.0153888379659955
R23,Q6,0.1,0.9000000000000001,0.1134636264929424,1.0,0.0887521968365553,0.9514228729548732,linear_in_log10_FER,YES,0.0125250213383119
R23,Q7,0.1,0.9000000000000001,0.1091205211726384,1.0,0.0887521968365553,0.9422462541274093,linear_in_log10_FER,YES,0.003348402510848
R23,Q8,0.1,0.9000000000000001,0.1102062975027144,1.0,0.0896309314586994,0.947027427697917,linear_in_log10_FER,YES,0.0081295760813557
R34,Q3,0.1,2.0,0.1735731039874902,2.5,0.0621196754563894,2.2683256973085246,linear_in_log10_FER,YES,0.3739479857926888
R34,Q4,0.1,1.5,0.251,2.0,0.0914777169663799,1.955875509217284,linear_in_log10_FER,YES,0.0614977977014479
R34,Q5,0.1,1.9,0.1017786561264822,2.0,0.0820953870211102,1.9082032137808025,linear_in_log10_FER,YES,0.0138255022649667
R34,Q6,0.1,1.8,0.1233611442193087,1.9,0.0988142292490118,1.8946237322916144,linear_in_log10_FER,YES,0.0002460207757786
R34,Q7,0.1,1.8,0.1215733015494636,1.9,0.0998023715415019,1.8989974734054167,linear_in_log10_FER,YES,0.0046197618895813
R34,Q8,0.1,1.8,0.1191895113230035,1.9,0.0988142292490118,1.8936371841586492,linear_in_log10_FER,YES,-0.0007405273571863
