schemaVersion,experimentId,stage,codeType,caseName,payloadLength,encodedLength,codeRate,ebN0_dB,snrIndex,processedFrames,totalPayloadBits,bitErrors,frameErrors,successfulFrames,ber,fer,successRate,avgEncodeTimeUs,avgChannelTimeUs,avgDecodeTimeUs,maxDecodeTimeUs,avgRecoveryTimeUs,avgTotalTimeUs,maxTotalTimeUs,stopReason,framePoolId,noisePoolId,configHash
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,0,0,2000,400000,31554,2000,0,0.078885,1,0,93.0939,85.1147,4.14665,45.2,0.40135,183.229,1468.3,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,ce622e0a068707e4b0bf3ebb03df4079d1ae5de5285a97e4af1f0ba1dc3e83f6
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,1,1,2000,400000,22639,2000,0,0.0565975,1,0,93.1302,88.2545,4.0365,51.3,0.438,186.351,2410,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,b8386de77ed51016d0a9622eae897b86ef4b5832f5e8d28a6ad74a725dd23291
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,2,2,2000,400000,15080,1998,2,0.0377,0.999,0.001,95.5834,89.4608,4.75605,580.1,0.52835,190.795,1600.3,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,2518a5150d8b9587293a8770b6c26f210d6bd423ab2ba397e87e94c1b10e9aa8
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,3,3,2000,400000,9126,1975,25,0.022815,0.9875,0.0125,76.3169,71.4768,3.70845,75.5,0.323,152.298,1403.1,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,88e11f4d3e5a5c34e24af7609c6a1f5e3d840da9332bb155c1aec3ef2b9ff942
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,4,4,2000,400000,5019,1837,163,0.0125475,0.9185,0.0815,89.4217,85.2381,4.15985,238.3,0.40575,179.686,1515.2,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,71cfb616f7a8749cebf48ff530d521fedb0a6e9662a68a1e9f45e78c7a526603
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,5,5,2000,400000,2408,1384,616,0.00602,0.692,0.308,74.8357,69.7949,3.97125,407.3,0.36275,149.386,778.6,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,5eacbc195a1aa29ff0611ef436ee36435b201ffe8ba789aaed8ed02bf624515c
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,6,6,2000,400000,975,772,1228,0.0024375,0.386,0.614,164.37,152.04,6.0835,774.3,0.6638,323.953,6504.2,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,6ee3d8f19bd88f9879530d19d285645f17c7f1aa22cebcec61033f705c7b5aaf
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_LLR_SIGN,200,200,1,0,0,2000,400000,31554,2000,0,0.078885,1,0,157.373,145.926,13.024,1242.7,0.5658,317.768,4998.5,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,b2076a21e94cae8e816d1e54fcda066a8272f35cef6b2cd5d2eef11abe4bebc1
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_LLR_SIGN,200,200,1,1,1,2000,400000,22639,2000,0,0.0565975,1,0,114.595,107.639,10.7833,207.5,0.4522,234.028,1902.8,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,a83e904c4880273975c0c206a193d12c7e4b01d34820c31efecf2f958929082f
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_LLR_SIGN,200,200,1,2,2,2000,400000,15080,1998,2,0.0377,0.999,0.001,104.027,98.709,10.1992,176.5,0.4352,214.153,1917.4,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames2000,276d5f7a493a341c,4e56d28ee9daa5a6dd8c94cd36892c74271e6447abdcdc66454dc625f21e24b7
