schemaVersion,experimentId,stage,codeType,caseName,payloadLength,encodedLength,codeRate,ebN0_dB,snrIndex,processedFrames,totalPayloadBits,bitErrors,frameErrors,successfulFrames,ber,fer,successRate,avgEncodeTimeUs,avgChannelTimeUs,avgDecodeTimeUs,maxDecodeTimeUs,avgRecoveryTimeUs,avgTotalTimeUs,maxTotalTimeUs,stopReason,framePoolId,noisePoolId,configHash
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,0,0,100,20000,1613,100,0,0.08065,1,0,88.081,78.415,3.957,6.5,0.464,174.308,695.9,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames100,e81b6dae0d027ca6,e8cf5c699f194848843069188c1914c548e133e5661d507ff7f936e703f7ea2d
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,2,1,100,20000,755,100,0,0.03775,1,0,90.579,88.791,3.954,22.8,0.753,184.524,658,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames100,e81b6dae0d027ca6,63e8d505ae7a829903b826a796820407d01950a76d19650461d8ce408448f588
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_HARD,200,200,1,4,2,100,20000,247,90,10,0.01235,0.9,0.1,84.59,81.374,3.938,27.8,0.469,170.792,894.6,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames100,e81b6dae0d027ca6,d2e2289e109bf235e23e337550f555f971009c98325ac9f724a810141b9b2286
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_LLR_SIGN,200,200,1,0,0,100,20000,1613,100,0,0.08065,1,0,78.199,75.172,8.88,14.1,0.437,163.108,381.5,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames100,e81b6dae0d027ca6,c3ece4ba9d9c8240961ba24d8aa9dc5dca675a9507c6a2df794ae91432911b73
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_LLR_SIGN,200,200,1,2,1,100,20000,755,100,0,0.03775,1,0,83.038,81.651,8.756,13.2,0.327,174.209,626,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames100,e81b6dae0d027ca6,1cda56312cdecb7bb922b9849bb6ca38e4f786e3b1fa68a94b20a2ea7f0ef421
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k200_LLR_SIGN,200,200,1,4,2,100,20000,247,90,10,0.01235,0.9,0.1,84.59,78.351,9.507,52.2,0.605,173.5,670.8,MAX_FRAMES,payload_k200_seed2026072001_policy1_frames100,e81b6dae0d027ca6,5a9dad25d486d095ad654e1b79a425c41852194fee3418a1ef6000d3ab927517
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k300_HARD,300,300,1,0,0,100,30000,2336,100,0,0.0778667,1,0,99.25,90.517,5.243,22.1,0.348,195.8,1007.9,MAX_FRAMES,payload_k300_seed2026072001_policy1_frames100,e81b6dae0d027ca6,17d845c3a1091a3a8c81a94771dda097d851be13932a4847d8f84b1e2d20ba36
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k300_HARD,300,300,1,2,1,100,30000,1120,100,0,0.0373333,1,0,92.132,92.58,5.236,7.9,0.365,190.747,548.5,MAX_FRAMES,payload_k300_seed2026072001_policy1_frames100,e81b6dae0d027ca6,424633e11bdbfc9fe0a80585afeb91d13b03c7a75f14df13d7afa49c61e20f6a
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k300_HARD,300,300,1,4,2,100,30000,367,98,2,0.0122333,0.98,0.02,171.18,168.339,7.477,10.1,0.584,348.257,1303.9,MAX_FRAMES,payload_k300_seed2026072001_policy1_frames100,e81b6dae0d027ca6,ce6e75a27a8d98cf90bb8bc72f6ada870da1443cfb176b29f855d0e015c496ba
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k300_LLR_SIGN,300,300,1,0,0,100,30000,2336,100,0,0.0778667,1,0,114.631,110.564,13.853,37.4,0.385,239.905,864.1,MAX_FRAMES,payload_k300_seed2026072001_policy1_frames100,e81b6dae0d027ca6,9087d3aca32bfd327286d9fa3c31eb4b7d68b8fd28a622218eeb039d35114472
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k300_LLR_SIGN,300,300,1,2,1,100,30000,1120,100,0,0.0373333,1,0,120.35,101.944,14.408,29.6,0.398,237.598,1491.3,MAX_FRAMES,payload_k300_seed2026072001_policy1_frames100,e81b6dae0d027ca6,8d283c6c2b134bbad56401449f930e2349413725d068c9ce8a5732ad0ea833f9
common04.result_summary.v1,common04_pool_backed,stage04_common_simulation_foundation,IDENTITY,k300_LLR_SIGN,300,300,1,4,2,100,30000,367,98,2,0.0122333,0.98,0.02,94.971,88.657,13.131,36.4,0.342,198.019,627.4,MAX_FRAMES,payload_k300_seed2026072001_policy1_frames100,e81b6dae0d027ca6,a5ab923b6857c014a394952e2fa92faf03dbff0ebd151ed8f57c07465c23a216
