channel,group,scheme,meanFER,meanBER,meanDeltaFerVsOwnAwgn,meanDeltaBerVsOwnAwgn,meanIterations,meanMaxIterationRate,interpretation
AWGN,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.22870773616116888,0.048942468512755376,0.0,0.0,NA,NA,No unified robustness score is constructed.
AWGN,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.21941586941475316,0.03544872707375503,0.0,0.0,8.711741364315236,0.21950427519790996,No unified robustness score is constructed.
AWGN,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.34177771551595404,0.11059540782185445,0.0,0.0,NA,NA,No unified robustness score is constructed.
AWGN,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.5560243842064406,0.05510167642008158,0.0,0.0,12.202417814030204,0.35128164621257135,No unified robustness score is constructed.
CFO_30_DEG,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.25954342679928066,0.06000258847796947,0.030835690638111705,0.011060119965214074,NA,NA,No unified robustness score is constructed.
CFO_30_DEG,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.244828799824982,0.039976003016456936,0.025412930410228785,0.004527275942701918,9.4806574371716,0.24499138575959079,No unified robustness score is constructed.
CFO_30_DEG,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.37317621068276513,0.1233111527628631,0.031398495166811084,0.012715744941008687,NA,NA,No unified robustness score is constructed.
CFO_30_DEG,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.5819150531141857,0.05876509259411949,0.025890668907744722,0.003663416174037916,12.929841359193684,0.37461939853040527,No unified robustness score is constructed.
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.3488242990335933,0.0800811004754337,0.12011656287242442,0.03113863196267829,NA,NA,No unified robustness score is constructed.
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.30845581208242084,0.05332601639368245,0.08903994266766767,0.01787728931992744,11.65482779517108,0.30860611166181606,No unified robustness score is constructed.
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.4998181065433711,0.15518394565762395,0.15804039102741704,0.04458853783576951,NA,NA,No unified robustness score is constructed.
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.708824641704039,0.07526507577097752,0.15280025749759824,0.020163399350895925,15.207784821330737,0.4455960362818779,No unified robustness score is constructed.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.9986247895849324,0.06542380036521021,0.7699170534237636,0.016481331852454855,NA,NA,No unified robustness score is constructed.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.2437872840893555,0.04126729892207498,0.024371414674602264,0.005818571848319957,9.523725229944974,0.2441672144676335,No unified robustness score is constructed.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.9993338497417569,0.12623293376553388,0.6575561342258028,0.015637525943679446,NA,NA,No unified robustness score is constructed.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.6296576079775132,0.06295774281804423,0.07363322377107268,0.007856066397962616,12.688899295451192,0.3652587162178059,No unified robustness score is constructed.
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.28038459291570045,0.06842007043642692,0.05167685675453147,0.01947760192367155,NA,NA,No unified robustness score is constructed.
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.26555908911005977,0.045708912296030565,0.04614321969530658,0.01026018522227555,10.153152664551316,0.2657699766080537,No unified robustness score is constructed.
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.39537768748403834,0.1316584104836289,0.05359997196808429,0.021063002661774462,NA,NA,No unified robustness score is constructed.
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.6077596676664767,0.06642162686174924,0.05173528346003594,0.011319950441667649,13.50817647220244,0.39362811511190615,No unified robustness score is constructed.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.9417512445688213,0.07358138271060671,0.7130435084076523,0.024638914197851337,NA,NA,No unified robustness score is constructed.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.3827613505573876,0.049740576993759306,0.16334548114263447,0.014291849920004311,14.662072572885522,0.384174337694871,No unified robustness score is constructed.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.9758064516129031,0.13669365591397847,0.6340287360969491,0.026098248092124052,NA,NA,No unified robustness score is constructed.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.9909032258064517,0.07658999999999999,0.43487884160001083,0.021488323579918412,21.839935483870974,0.657483870967742,No unified robustness score is constructed.
