module,scheme,snrPoints,totalFrames,totalBitErrors,totalFrameErrors,weightedAvgDecodeTimeUs,maxObservedDecodeTimeUs,decoderMemoryBytes,zeroBerPoints,zeroFerPoints
BCH,BCH-B200,31,605049,369077,16326,17.414983579842268,27491.4,2408,9,9
BCH,BCH-S200,31,448965,396136,17835,10.21662779949447,25240.3,1580,4,4
CC,BLOCK_FLOAT_SOFT,31,1012888,457509,7731,523.9966710040998,65607.2,59776,16,16
CC,BLOCK_HARD,31,793098,907004,11676,339.02618919729935,34231.5,59776,11,11
CC,B_CONT_50x6_FLOAT_SOFT,31,1012888,458187,7743,1849.6883427387813,163059.1,26112,16,16
CC,B_CONT_50x6_HARD,31,793098,906944,11678,1565.5755567407832,67275.4,26112,11,11
CC,C_CONT_100x3_FLOAT_SOFT,31,1012888,458187,7743,1838.8588208173092,137930.3,26112,16,16
CC,C_CONT_100x3_HARD,31,793098,906944,11678,1550.9520334183183,36739.9,26112,11,11
CC,D_CONT_150x2_FLOAT_SOFT,31,1012888,458187,7743,1835.8240092685496,87817.1,26112,16,16
CC,D_CONT_150x2_HARD,31,793098,906944,11678,1549.1673965890714,64246.2,26112,11,11
LDPC,N560_BP,31,460561,490506,18047,140.68731438397953,34024.9,11312,4,4
LDPC,N560_NMS,31,460561,513053,18090,33.156583384177125,9468.0,11312,4,4
