caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-B200,6,-2.000000,segmentCount,0,0,0,0
BCH-B200,6,-2.000000,initialSyndromeCount,0,0,0,0
BCH-B200,6,-2.000000,nonzeroSyndromeCount,0,0,0,0
BCH-B200,6,-2.000000,syndromeCalculationCount,0,0,0,0
BCH-B200,6,-2.000000,syndromeBitTestCount,0,0,0,0
BCH-B200,6,-2.000000,syndromeXorCount,0,0,0,0
BCH-B200,6,-2.000000,syndromeShiftCount,0,0,0,0
BCH-B200,6,-2.000000,tableLookupCount,0,0,0,0
BCH-B200,6,-2.000000,lookupHitCount,0,0,0,0
BCH-B200,6,-2.000000,lookupMissCount,0,0,0,0
BCH-B200,6,-2.000000,bitFlipCount,6,0.0060000000000000001,0,6
BCH-B200,6,-2.000000,postSyndromeCheckCount,1000,1,1,1
BCH-B200,6,-2.000000,correctedSegmentCount,0,0,0,0
BCH-B200,6,-2.000000,failedSegmentCount,0,0,0,0
BCH-B200,6,-2.000000,miscorrectedSegmentCount,0,0,0,0
BCH-B200,6,-2.000000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-B200,6,-2.000000,syndromeValueCount,12000,12,12,12
BCH-B200,6,-2.000000,syndromeEvaluationCount,3060000,3060,3060,3060
BCH-B200,6,-2.000000,bmIterationCount,12000,12,12,12
BCH-B200,6,-2.000000,bmDiscrepancyCount,12000,12,12,12
BCH-B200,6,-2.000000,bmLocatorUpdateCount,15897,15.897,16,16
BCH-B200,6,-2.000000,bmPolynomialCopyCount,5979,5.9790000000000001,6,6
BCH-B200,6,-2.000000,chienPositionTestCount,253215,253.215,255,255
BCH-B200,6,-2.000000,chienPolynomialEvaluationCount,253215,253.215,255,255
BCH-B200,6,-2.000000,chienRootCount,965,0.96499999999999997,3,6
BCH-B200,6,-2.000000,gfAddCount,4796195,4796.1949999999997,5125,5413
BCH-B200,6,-2.000000,gfMultiplyCount,1823627,1823.627,1837,1837
BCH-B200,6,-2.000000,gfDivideCount,5979,5.9790000000000001,6,6
BCH-B200,6,-2.000000,gfInverseCount,0,0,0,0
BCH-B200,6,-2.000000,locatorDegree,6004,6.0039999999999996,6,7
BCH-B200,6,-2.000000,rootCount,965,0.96499999999999997,3,6
BCH-B200,6,-2.000000,decoderFailureCount,999,0.999,1,1
BCH-B200,6,-2.000000,miscorrectionCount,1,0.001,0,1
