caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-B200,12,1.000000,segmentCount,0,0,0,0
BCH-B200,12,1.000000,initialSyndromeCount,0,0,0,0
BCH-B200,12,1.000000,nonzeroSyndromeCount,0,0,0,0
BCH-B200,12,1.000000,syndromeCalculationCount,0,0,0,0
BCH-B200,12,1.000000,syndromeBitTestCount,0,0,0,0
BCH-B200,12,1.000000,syndromeXorCount,0,0,0,0
BCH-B200,12,1.000000,syndromeShiftCount,0,0,0,0
BCH-B200,12,1.000000,tableLookupCount,0,0,0,0
BCH-B200,12,1.000000,lookupHitCount,0,0,0,0
BCH-B200,12,1.000000,lookupMissCount,0,0,0,0
BCH-B200,12,1.000000,bitFlipCount,132,0.13200000000000001,0,6
BCH-B200,12,1.000000,postSyndromeCheckCount,1000,1,1,1
BCH-B200,12,1.000000,correctedSegmentCount,0,0,0,0
BCH-B200,12,1.000000,failedSegmentCount,0,0,0,0
BCH-B200,12,1.000000,miscorrectedSegmentCount,0,0,0,0
BCH-B200,12,1.000000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-B200,12,1.000000,syndromeValueCount,12000,12,12,12
BCH-B200,12,1.000000,syndromeEvaluationCount,3060000,3060,3060,3060
BCH-B200,12,1.000000,bmIterationCount,12000,12,12,12
BCH-B200,12,1.000000,bmDiscrepancyCount,12000,12,12,12
BCH-B200,12,1.000000,bmLocatorUpdateCount,15835,15.835000000000001,16,16
BCH-B200,12,1.000000,bmPolynomialCopyCount,5966,5.9660000000000002,6,6
BCH-B200,12,1.000000,chienPositionTestCount,253980,253.97999999999999,255,255
BCH-B200,12,1.000000,chienPolynomialEvaluationCount,253980,253.97999999999999,255,255
BCH-B200,12,1.000000,chienRootCount,1120,1.1200000000000001,3,6
BCH-B200,12,1.000000,gfAddCount,4795839,4795.8389999999999,5125,5365
BCH-B200,12,1.000000,gfMultiplyCount,1826103,1826.1030000000001,1837,1837
BCH-B200,12,1.000000,gfDivideCount,5966,5.9660000000000002,6,6
BCH-B200,12,1.000000,gfInverseCount,0,0,0,0
BCH-B200,12,1.000000,locatorDegree,5990,5.9900000000000002,6,7
BCH-B200,12,1.000000,rootCount,1120,1.1200000000000001,3,6
BCH-B200,12,1.000000,decoderFailureCount,976,0.97599999999999998,1,1
BCH-B200,12,1.000000,miscorrectionCount,4,0.0040000000000000001,0,1
