caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-S200,10,0.000000,segmentCount,19000,19,19,19
BCH-S200,10,0.000000,initialSyndromeCount,19000,19,19,19
BCH-S200,10,0.000000,nonzeroSyndromeCount,13320,13.32,16,18
BCH-S200,10,0.000000,syndromeCalculationCount,32320,32.32,35,37
BCH-S200,10,0.000000,syndromeBitTestCount,355520,355.51999999999998,385,407
BCH-S200,10,0.000000,syndromeXorCount,530499,530.49900000000002,606,669
BCH-S200,10,0.000000,syndromeShiftCount,176833,176.833,202,223
BCH-S200,10,0.000000,tableLookupCount,13320,13.32,16,18
BCH-S200,10,0.000000,lookupHitCount,13320,13.32,16,18
BCH-S200,10,0.000000,lookupMissCount,0,0,0,0
BCH-S200,10,0.000000,bitFlipCount,13320,13.32,16,18
BCH-S200,10,0.000000,postSyndromeCheckCount,13320,13.32,16,18
BCH-S200,10,0.000000,correctedSegmentCount,13320,13.32,16,18
BCH-S200,10,0.000000,failedSegmentCount,0,0,0,0
BCH-S200,10,0.000000,miscorrectedSegmentCount,0,0,0,0
BCH-S200,10,0.000000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-S200,10,0.000000,syndromeValueCount,0,0,0,0
BCH-S200,10,0.000000,syndromeEvaluationCount,0,0,0,0
BCH-S200,10,0.000000,bmIterationCount,0,0,0,0
BCH-S200,10,0.000000,bmDiscrepancyCount,0,0,0,0
BCH-S200,10,0.000000,bmLocatorUpdateCount,0,0,0,0
BCH-S200,10,0.000000,bmPolynomialCopyCount,0,0,0,0
BCH-S200,10,0.000000,chienPositionTestCount,0,0,0,0
BCH-S200,10,0.000000,chienPolynomialEvaluationCount,0,0,0,0
BCH-S200,10,0.000000,chienRootCount,0,0,0,0
BCH-S200,10,0.000000,gfAddCount,0,0,0,0
BCH-S200,10,0.000000,gfMultiplyCount,0,0,0,0
BCH-S200,10,0.000000,gfDivideCount,0,0,0,0
BCH-S200,10,0.000000,gfInverseCount,0,0,0,0
BCH-S200,10,0.000000,locatorDegree,0,0,0,0
BCH-S200,10,0.000000,rootCount,0,0,0,0
BCH-S200,10,0.000000,decoderFailureCount,0,0,0,0
BCH-S200,10,0.000000,miscorrectionCount,1000,1,1,1
