caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-S200,7,-1.500000,segmentCount,19000,19,19,19
BCH-S200,7,-1.500000,initialSyndromeCount,19000,19,19,19
BCH-S200,7,-1.500000,nonzeroSyndromeCount,15746,15.746,18,19
BCH-S200,7,-1.500000,syndromeCalculationCount,34746,34.746000000000002,37,38
BCH-S200,7,-1.500000,syndromeBitTestCount,382206,382.20600000000002,407,418
BCH-S200,7,-1.500000,syndromeXorCount,570609,570.60900000000004,648,699
BCH-S200,7,-1.500000,syndromeShiftCount,190203,190.203,216,233
BCH-S200,7,-1.500000,tableLookupCount,15746,15.746,18,19
BCH-S200,7,-1.500000,lookupHitCount,15746,15.746,18,19
BCH-S200,7,-1.500000,lookupMissCount,0,0,0,0
BCH-S200,7,-1.500000,bitFlipCount,15746,15.746,18,19
BCH-S200,7,-1.500000,postSyndromeCheckCount,15746,15.746,18,19
BCH-S200,7,-1.500000,correctedSegmentCount,15746,15.746,18,19
BCH-S200,7,-1.500000,failedSegmentCount,0,0,0,0
BCH-S200,7,-1.500000,miscorrectedSegmentCount,0,0,0,0
BCH-S200,7,-1.500000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-S200,7,-1.500000,syndromeValueCount,0,0,0,0
BCH-S200,7,-1.500000,syndromeEvaluationCount,0,0,0,0
BCH-S200,7,-1.500000,bmIterationCount,0,0,0,0
BCH-S200,7,-1.500000,bmDiscrepancyCount,0,0,0,0
BCH-S200,7,-1.500000,bmLocatorUpdateCount,0,0,0,0
BCH-S200,7,-1.500000,bmPolynomialCopyCount,0,0,0,0
BCH-S200,7,-1.500000,chienPositionTestCount,0,0,0,0
BCH-S200,7,-1.500000,chienPolynomialEvaluationCount,0,0,0,0
BCH-S200,7,-1.500000,chienRootCount,0,0,0,0
BCH-S200,7,-1.500000,gfAddCount,0,0,0,0
BCH-S200,7,-1.500000,gfMultiplyCount,0,0,0,0
BCH-S200,7,-1.500000,gfDivideCount,0,0,0,0
BCH-S200,7,-1.500000,gfInverseCount,0,0,0,0
BCH-S200,7,-1.500000,locatorDegree,0,0,0,0
BCH-S200,7,-1.500000,rootCount,0,0,0,0
BCH-S200,7,-1.500000,decoderFailureCount,0,0,0,0
BCH-S200,7,-1.500000,miscorrectionCount,1000,1,1,1
