caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-S200,28,9.000000,segmentCount,950000,19,19,19
BCH-S200,28,9.000000,initialSyndromeCount,950000,19,19,19
BCH-S200,28,9.000000,nonzeroSyndromeCount,444,0.0088800000000000007,0,2
BCH-S200,28,9.000000,syndromeCalculationCount,950444,19.008880000000001,19,21
BCH-S200,28,9.000000,syndromeBitTestCount,10454884,209.09768,209,231
BCH-S200,28,9.000000,syndromeXorCount,15610836,312.21672000000001,351,402
BCH-S200,28,9.000000,syndromeShiftCount,5203612,104.07223999999999,117,134
BCH-S200,28,9.000000,tableLookupCount,444,0.0088800000000000007,0,2
BCH-S200,28,9.000000,lookupHitCount,444,0.0088800000000000007,0,2
BCH-S200,28,9.000000,lookupMissCount,0,0,0,0
BCH-S200,28,9.000000,bitFlipCount,444,0.0088800000000000007,0,2
BCH-S200,28,9.000000,postSyndromeCheckCount,444,0.0088800000000000007,0,2
BCH-S200,28,9.000000,correctedSegmentCount,444,0.0088800000000000007,0,2
BCH-S200,28,9.000000,failedSegmentCount,0,0,0,0
BCH-S200,28,9.000000,miscorrectedSegmentCount,0,0,0,0
BCH-S200,28,9.000000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-S200,28,9.000000,syndromeValueCount,0,0,0,0
BCH-S200,28,9.000000,syndromeEvaluationCount,0,0,0,0
BCH-S200,28,9.000000,bmIterationCount,0,0,0,0
BCH-S200,28,9.000000,bmDiscrepancyCount,0,0,0,0
BCH-S200,28,9.000000,bmLocatorUpdateCount,0,0,0,0
BCH-S200,28,9.000000,bmPolynomialCopyCount,0,0,0,0
BCH-S200,28,9.000000,chienPositionTestCount,0,0,0,0
BCH-S200,28,9.000000,chienPolynomialEvaluationCount,0,0,0,0
BCH-S200,28,9.000000,chienRootCount,0,0,0,0
BCH-S200,28,9.000000,gfAddCount,0,0,0,0
BCH-S200,28,9.000000,gfMultiplyCount,0,0,0,0
BCH-S200,28,9.000000,gfDivideCount,0,0,0,0
BCH-S200,28,9.000000,gfInverseCount,0,0,0,0
BCH-S200,28,9.000000,locatorDegree,0,0,0,0
BCH-S200,28,9.000000,rootCount,0,0,0,0
BCH-S200,28,9.000000,decoderFailureCount,0,0,0,0
BCH-S200,28,9.000000,miscorrectionCount,0,0,0,0
