caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-B200,7,-1.500000,segmentCount,0,0,0,0
BCH-B200,7,-1.500000,initialSyndromeCount,0,0,0,0
BCH-B200,7,-1.500000,nonzeroSyndromeCount,0,0,0,0
BCH-B200,7,-1.500000,syndromeCalculationCount,0,0,0,0
BCH-B200,7,-1.500000,syndromeBitTestCount,0,0,0,0
BCH-B200,7,-1.500000,syndromeXorCount,0,0,0,0
BCH-B200,7,-1.500000,syndromeShiftCount,0,0,0,0
BCH-B200,7,-1.500000,tableLookupCount,0,0,0,0
BCH-B200,7,-1.500000,lookupHitCount,0,0,0,0
BCH-B200,7,-1.500000,lookupMissCount,0,0,0,0
BCH-B200,7,-1.500000,bitFlipCount,6,0.0060000000000000001,0,6
BCH-B200,7,-1.500000,postSyndromeCheckCount,1000,1,1,1
BCH-B200,7,-1.500000,correctedSegmentCount,0,0,0,0
BCH-B200,7,-1.500000,failedSegmentCount,0,0,0,0
BCH-B200,7,-1.500000,miscorrectedSegmentCount,0,0,0,0
BCH-B200,7,-1.500000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-B200,7,-1.500000,syndromeValueCount,12000,12,12,12
BCH-B200,7,-1.500000,syndromeEvaluationCount,3060000,3060,3060,3060
BCH-B200,7,-1.500000,bmIterationCount,12000,12,12,12
BCH-B200,7,-1.500000,bmDiscrepancyCount,12000,12,12,12
BCH-B200,7,-1.500000,bmLocatorUpdateCount,15891,15.891,16,16
BCH-B200,7,-1.500000,bmPolynomialCopyCount,5978,5.9779999999999998,6,6
BCH-B200,7,-1.500000,chienPositionTestCount,253725,253.72499999999999,255,255
BCH-B200,7,-1.500000,chienPolynomialEvaluationCount,253725,253.72499999999999,255,255
BCH-B200,7,-1.500000,chienRootCount,1012,1.012,3,6
BCH-B200,7,-1.500000,gfAddCount,4798193,4798.1930000000002,5125,5533
BCH-B200,7,-1.500000,gfMultiplyCount,1827449,1827.4490000000001,1837,1837
BCH-B200,7,-1.500000,gfDivideCount,5978,5.9779999999999998,6,6
BCH-B200,7,-1.500000,gfInverseCount,0,0,0,0
BCH-B200,7,-1.500000,locatorDegree,6003,6.0030000000000001,6,7
BCH-B200,7,-1.500000,rootCount,1012,1.012,3,6
BCH-B200,7,-1.500000,decoderFailureCount,999,0.999,1,1
BCH-B200,7,-1.500000,miscorrectionCount,1,0.001,0,1
