caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-B200,15,2.500000,segmentCount,0,0,0,0
BCH-B200,15,2.500000,initialSyndromeCount,0,0,0,0
BCH-B200,15,2.500000,nonzeroSyndromeCount,0,0,0,0
BCH-B200,15,2.500000,syndromeCalculationCount,0,0,0,0
BCH-B200,15,2.500000,syndromeBitTestCount,0,0,0,0
BCH-B200,15,2.500000,syndromeXorCount,0,0,0,0
BCH-B200,15,2.500000,syndromeShiftCount,0,0,0,0
BCH-B200,15,2.500000,tableLookupCount,0,0,0,0
BCH-B200,15,2.500000,lookupHitCount,0,0,0,0
BCH-B200,15,2.500000,lookupMissCount,0,0,0,0
BCH-B200,15,2.500000,bitFlipCount,1914,1.9139999999999999,6,6
BCH-B200,15,2.500000,postSyndromeCheckCount,1000,1,1,1
BCH-B200,15,2.500000,correctedSegmentCount,0,0,0,0
BCH-B200,15,2.500000,failedSegmentCount,0,0,0,0
BCH-B200,15,2.500000,miscorrectedSegmentCount,0,0,0,0
BCH-B200,15,2.500000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-B200,15,2.500000,syndromeValueCount,12000,12,12,12
BCH-B200,15,2.500000,syndromeEvaluationCount,3060000,3060,3060,3060
BCH-B200,15,2.500000,bmIterationCount,11976,11.976000000000001,12,12
BCH-B200,15,2.500000,bmDiscrepancyCount,11976,11.976000000000001,12,12
BCH-B200,15,2.500000,bmLocatorUpdateCount,13659,13.659000000000001,16,16
BCH-B200,15,2.500000,bmPolynomialCopyCount,5448,5.4480000000000004,6,6
BCH-B200,15,2.500000,chienPositionTestCount,253980,253.97999999999999,255,255
BCH-B200,15,2.500000,chienPolynomialEvaluationCount,253980,253.97999999999999,255,255
BCH-B200,15,2.500000,chienRootCount,2507,2.5070000000000001,6,6
BCH-B200,15,2.500000,gfAddCount,4666197,4666.1970000000001,5101,5509
BCH-B200,15,2.500000,gfMultiplyCount,1692021,1692.021,1837,1837
BCH-B200,15,2.500000,gfDivideCount,5448,5.4480000000000004,6,6
BCH-B200,15,2.500000,gfInverseCount,0,0,0,0
BCH-B200,15,2.500000,locatorDegree,5464,5.4640000000000004,6,7
BCH-B200,15,2.500000,rootCount,2507,2.5070000000000001,6,6
BCH-B200,15,2.500000,decoderFailureCount,592,0.59199999999999997,1,1
BCH-B200,15,2.500000,miscorrectionCount,0,0,0,0
