caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-S200,1,-4.500000,segmentCount,19000,19,19,19
BCH-S200,1,-4.500000,initialSyndromeCount,19000,19,19,19
BCH-S200,1,-4.500000,nonzeroSyndromeCount,17463,17.463000000000001,19,19
BCH-S200,1,-4.500000,syndromeCalculationCount,36463,36.463000000000001,38,38
BCH-S200,1,-4.500000,syndromeBitTestCount,401093,401.09300000000002,418,418
BCH-S200,1,-4.500000,syndromeXorCount,599829,599.82899999999995,669,738
BCH-S200,1,-4.500000,syndromeShiftCount,199943,199.94300000000001,223,246
BCH-S200,1,-4.500000,tableLookupCount,17463,17.463000000000001,19,19
BCH-S200,1,-4.500000,lookupHitCount,17463,17.463000000000001,19,19
BCH-S200,1,-4.500000,lookupMissCount,0,0,0,0
BCH-S200,1,-4.500000,bitFlipCount,17463,17.463000000000001,19,19
BCH-S200,1,-4.500000,postSyndromeCheckCount,17463,17.463000000000001,19,19
BCH-S200,1,-4.500000,correctedSegmentCount,17463,17.463000000000001,19,19
BCH-S200,1,-4.500000,failedSegmentCount,0,0,0,0
BCH-S200,1,-4.500000,miscorrectedSegmentCount,0,0,0,0
BCH-S200,1,-4.500000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-S200,1,-4.500000,syndromeValueCount,0,0,0,0
BCH-S200,1,-4.500000,syndromeEvaluationCount,0,0,0,0
BCH-S200,1,-4.500000,bmIterationCount,0,0,0,0
BCH-S200,1,-4.500000,bmDiscrepancyCount,0,0,0,0
BCH-S200,1,-4.500000,bmLocatorUpdateCount,0,0,0,0
BCH-S200,1,-4.500000,bmPolynomialCopyCount,0,0,0,0
BCH-S200,1,-4.500000,chienPositionTestCount,0,0,0,0
BCH-S200,1,-4.500000,chienPolynomialEvaluationCount,0,0,0,0
BCH-S200,1,-4.500000,chienRootCount,0,0,0,0
BCH-S200,1,-4.500000,gfAddCount,0,0,0,0
BCH-S200,1,-4.500000,gfMultiplyCount,0,0,0,0
BCH-S200,1,-4.500000,gfDivideCount,0,0,0,0
BCH-S200,1,-4.500000,gfInverseCount,0,0,0,0
BCH-S200,1,-4.500000,locatorDegree,0,0,0,0
BCH-S200,1,-4.500000,rootCount,0,0,0,0
BCH-S200,1,-4.500000,decoderFailureCount,0,0,0,0
BCH-S200,1,-4.500000,miscorrectionCount,1000,1,1,1
