caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-S200,26,8.000000,segmentCount,950000,19,19,19
BCH-S200,26,8.000000,initialSyndromeCount,950000,19,19,19
BCH-S200,26,8.000000,nonzeroSyndromeCount,2730,0.054600000000000003,1,2
BCH-S200,26,8.000000,syndromeCalculationCount,952730,19.054600000000001,20,21
BCH-S200,26,8.000000,syndromeBitTestCount,10480030,209.60059999999999,220,231
BCH-S200,26,8.000000,syndromeXorCount,15648168,312.96336000000002,351,411
BCH-S200,26,8.000000,syndromeShiftCount,5216056,104.32111999999999,117,137
BCH-S200,26,8.000000,tableLookupCount,2730,0.054600000000000003,1,2
BCH-S200,26,8.000000,lookupHitCount,2730,0.054600000000000003,1,2
BCH-S200,26,8.000000,lookupMissCount,0,0,0,0
BCH-S200,26,8.000000,bitFlipCount,2730,0.054600000000000003,1,2
BCH-S200,26,8.000000,postSyndromeCheckCount,2730,0.054600000000000003,1,2
BCH-S200,26,8.000000,correctedSegmentCount,2730,0.054600000000000003,1,2
BCH-S200,26,8.000000,failedSegmentCount,0,0,0,0
BCH-S200,26,8.000000,miscorrectedSegmentCount,0,0,0,0
BCH-S200,26,8.000000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-S200,26,8.000000,syndromeValueCount,0,0,0,0
BCH-S200,26,8.000000,syndromeEvaluationCount,0,0,0,0
BCH-S200,26,8.000000,bmIterationCount,0,0,0,0
BCH-S200,26,8.000000,bmDiscrepancyCount,0,0,0,0
BCH-S200,26,8.000000,bmLocatorUpdateCount,0,0,0,0
BCH-S200,26,8.000000,bmPolynomialCopyCount,0,0,0,0
BCH-S200,26,8.000000,chienPositionTestCount,0,0,0,0
BCH-S200,26,8.000000,chienPolynomialEvaluationCount,0,0,0,0
BCH-S200,26,8.000000,chienRootCount,0,0,0,0
BCH-S200,26,8.000000,gfAddCount,0,0,0,0
BCH-S200,26,8.000000,gfMultiplyCount,0,0,0,0
BCH-S200,26,8.000000,gfDivideCount,0,0,0,0
BCH-S200,26,8.000000,gfInverseCount,0,0,0,0
BCH-S200,26,8.000000,locatorDegree,0,0,0,0
BCH-S200,26,8.000000,rootCount,0,0,0,0
BCH-S200,26,8.000000,decoderFailureCount,0,0,0,0
BCH-S200,26,8.000000,miscorrectionCount,4,8.0000000000000007e-05,0,1
