caseName,snrIndex,esN0Db,metric,total,average,p95,maximum
BCH-B200,0,-5.000000,segmentCount,0,0,0,0
BCH-B200,0,-5.000000,initialSyndromeCount,0,0,0,0
BCH-B200,0,-5.000000,nonzeroSyndromeCount,0,0,0,0
BCH-B200,0,-5.000000,syndromeCalculationCount,0,0,0,0
BCH-B200,0,-5.000000,syndromeBitTestCount,0,0,0,0
BCH-B200,0,-5.000000,syndromeXorCount,0,0,0,0
BCH-B200,0,-5.000000,syndromeShiftCount,0,0,0,0
BCH-B200,0,-5.000000,tableLookupCount,0,0,0,0
BCH-B200,0,-5.000000,lookupHitCount,0,0,0,0
BCH-B200,0,-5.000000,lookupMissCount,0,0,0,0
BCH-B200,0,-5.000000,bitFlipCount,12,0.012,0,6
BCH-B200,0,-5.000000,postSyndromeCheckCount,1000,1,1,1
BCH-B200,0,-5.000000,correctedSegmentCount,0,0,0,0
BCH-B200,0,-5.000000,failedSegmentCount,0,0,0,0
BCH-B200,0,-5.000000,miscorrectedSegmentCount,0,0,0,0
BCH-B200,0,-5.000000,reportedSuccessButPayloadWrongCount,0,0,0,0
BCH-B200,0,-5.000000,syndromeValueCount,12000,12,12,12
BCH-B200,0,-5.000000,syndromeEvaluationCount,3060000,3060,3060,3060
BCH-B200,0,-5.000000,bmIterationCount,12000,12,12,12
BCH-B200,0,-5.000000,bmDiscrepancyCount,12000,12,12,12
BCH-B200,0,-5.000000,bmLocatorUpdateCount,15886,15.885999999999999,16,16
BCH-B200,0,-5.000000,bmPolynomialCopyCount,5976,5.976,6,6
BCH-B200,0,-5.000000,chienPositionTestCount,253980,253.97999999999999,255,255
BCH-B200,0,-5.000000,chienPolynomialEvaluationCount,253980,253.97999999999999,255,255
BCH-B200,0,-5.000000,chienRootCount,1030,1.03,3,6
BCH-B200,0,-5.000000,gfAddCount,4797102,4797.1019999999999,5102.1999999999989,5461
BCH-B200,0,-5.000000,gfMultiplyCount,1828206,1828.2059999999999,1837,1837
BCH-B200,0,-5.000000,gfDivideCount,5976,5.976,6,6
BCH-B200,0,-5.000000,gfInverseCount,0,0,0,0
BCH-B200,0,-5.000000,locatorDegree,5998,5.9980000000000002,6,7
BCH-B200,0,-5.000000,rootCount,1030,1.03,3,6
BCH-B200,0,-5.000000,decoderFailureCount,998,0.998,1,1
BCH-B200,0,-5.000000,miscorrectionCount,2,0.002,0,1
