figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-5,27.312000000000001,27.312000000000001,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-4.5,27.728999999999999,27.728999999999999,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-4,26.702000000000002,26.702000000000002,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-3.5,27.445,27.445,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-3,26.956,26.956,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-2.5,26.231999999999999,26.231999999999999,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-2,25.608000000000001,25.608000000000001,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-1.5,25.817,25.817,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-1,24.623000000000001,24.623000000000001,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,-0.5,23.960999999999999,23.960999999999999,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,0,23.327000000000002,23.327000000000002,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,0.5,21.381,21.381,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,1,19.599,19.599,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,1.5,16.787878787878789,16.787878787878789,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,2,13.790198400947586,13.790198400947586,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,2.5,10.958304946177954,10.958304946177954,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,3,7.9925800000000002,7.9925800000000002,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,3.5,5.6387600000000004,5.6387600000000004,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,4,3.83284,3.83284,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,4.5,2.64052,2.64052,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,5,1.8340799999999999,1.8340799999999999,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,5.5,1.36456,1.36456,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,6,1.1806399999999999,1.1806399999999999,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,6.5,1.0719799999999999,1.0719799999999999,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,7,1.02752,1.02752,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,7.5,1.00922,1.00922,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,8,1.0027200000000001,1.0027200000000001,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,8.5,1.0006600000000001,1.0006600000000001,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,9,1.0006200000000001,1.0006200000000001,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,9.5,1,1,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N480_NMS,LDPC N480,10,1,1,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N640_NMS,LDPC N640,-5,32,32,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N640_NMS,LDPC N640,-4.5,32,32,true,false,
ldpc__cfo_30_deg__avgiterations,S5_FORMAL_20260802,avgIterations,LDPC_BG2_N640_NMS,LDPC N640,-4,32,32,true,false,
