figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-5,0.83699999999999997,0.83699999999999997,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-4.5,0.85199999999999998,0.85199999999999998,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-4,0.81599999999999995,0.81599999999999995,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-3.5,0.84199999999999997,0.84199999999999997,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-3,0.82499999999999996,0.82499999999999996,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-2.5,0.80100000000000005,0.80100000000000005,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-2,0.77900000000000003,0.77900000000000003,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-1.5,0.78700000000000003,0.78700000000000003,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-1,0.746,0.746,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-0.5,0.72399999999999998,0.72399999999999998,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,0,0.70299999999999996,0.70299999999999996,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,0.5,0.63800000000000001,0.63800000000000001,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,1,0.57999999999999996,0.57999999999999996,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,1.5,0.48707664884135471,0.48707664884135471,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,2,0.3898430559668345,0.3898430559668345,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,2.5,0.29904164963437346,0.29904164963437346,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,3,0.20549999999999999,0.20549999999999999,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,3.5,0.13375999999999999,0.13375999999999999,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,4,0.080259999999999998,0.080259999999999998,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,4.5,0.046120000000000001,0.046120000000000001,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,5,0.023259999999999999,0.023259999999999999,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,5.5,0.010019999999999999,0.010019999999999999,true,false,
ldpc__cfo_30_deg__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,6,0.0051200000000000004,0.0051200000000000004,true,false,
