figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-5,0.82799999999999996,0.82799999999999996,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-4.5,0.82799999999999996,0.82799999999999996,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-4,0.82099999999999995,0.82099999999999995,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-3.5,0.83699999999999997,0.83699999999999997,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-3,0.84099999999999997,0.84099999999999997,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-2.5,0.79600000000000004,0.79600000000000004,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-2,0.81000000000000005,0.81000000000000005,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-1.5,0.79600000000000004,0.79600000000000004,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-1,0.79600000000000004,0.79600000000000004,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-0.5,0.77700000000000002,0.77700000000000002,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,0,0.74299999999999999,0.74299999999999999,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,0.5,0.68799999999999994,0.68799999999999994,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,1,0.69899999999999995,0.69899999999999995,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,1.5,0.629,0.629,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,2,0.56399999999999995,0.56399999999999995,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,2.5,0.53300000000000003,0.53300000000000003,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,3,0.442,0.442,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,3.5,0.35860058309037901,0.35860058309037901,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,4,0.3145065398335315,0.3145065398335315,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,4.5,0.21965933286018452,0.21965933286018452,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,5,0.16499761564139245,0.16499761564139245,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,5.5,0.11854951185495119,0.11854951185495119,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,6,0.081549636803874087,0.081549636803874087,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,6.5,0.050472972972972971,0.050472972972972971,true,false,
ldpc__fixed_multipath_real_mmse__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,7,0.033272964663269171,0.033272964663269171,true,false,
