figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-5,0.85899999999999999,0.85899999999999999,true,false,
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-4.5,0.83999999999999997,0.83999999999999997,true,false,
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-4,0.86199999999999999,0.86199999999999999,true,false,
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-3.5,0.83099999999999996,0.83099999999999996,true,false,
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-3,0.83599999999999997,0.83599999999999997,true,false,
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-2.5,0.81499999999999995,0.81499999999999995,true,false,
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-2,0.82299999999999995,0.82299999999999995,true,false,
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-1.5,0.77900000000000003,0.77900000000000003,true,false,
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-1,0.77600000000000002,0.77600000000000002,true,false,
ldpc__linear_time_varying_frequency__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-0.5,0.73799999999999999,0.73799999999999999,true,false,
