figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-5,0.82299999999999995,0.82299999999999995,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-4.5,0.83299999999999996,0.83299999999999996,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-4,0.83099999999999996,0.83099999999999996,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-3.5,0.81899999999999995,0.81899999999999995,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-3,0.81599999999999995,0.81599999999999995,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-2.5,0.83599999999999997,0.83599999999999997,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-2,0.78500000000000003,0.78500000000000003,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-1.5,0.77400000000000002,0.77400000000000002,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-1,0.79400000000000004,0.79400000000000004,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,-0.5,0.76100000000000001,0.76100000000000001,true,false,
ldpc__unknown_burst_5_percent_isr_10db__maxiterationrate,S5_FORMAL_20260802,maxIterationRate,LDPC_BG2_N480_NMS,LDPC N480,0,0.73999999999999999,0.73999999999999999,true,false,
