figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,0.39216333333333331,0.39216333333333331,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,0.34765000000000001,0.34765000000000001,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,0.29004666666666667,0.29004666666666667,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,0.21623333333333333,0.21623333333333333,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,0.14031333333333335,0.14031333333333335,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,0.076766666666666664,0.076766666666666664,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,0.034446666666666667,0.034446666666666667,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,0.01308,0.01308,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,0.0047586778104058433,0.0047586778104058433,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,0.0013285794183445191,0.0013285794183445191,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0,0.00033346666666666668,0.00033346666666666668,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0.5,7.8933333333333332e-05,7.8933333333333332e-05,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1,1.3066666666666666e-05,1.3066666666666666e-05,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1.5,3.5999999999999998e-06,3.5999999999999998e-06,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2,1.9999999999999999e-07,1.9999999999999999e-07,true,false,
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,8,0,,false,true,6.0000000000000002e-05
rate_near_1_2__awgn__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,8.5,0,,false,true,6.0000000000000002e-05
