figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,449.80000000000001,449.80000000000001,true,false,
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,448.5,448.5,true,false,
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,433.39999999999998,433.39999999999998,true,false,
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,417.89999999999998,417.89999999999998,true,false,
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,436.60000000000002,436.60000000000002,true,false,
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,439.30000000000001,439.30000000000001,true,false,
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,444,444,true,false,
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,452.30000000000001,452.30000000000001,true,false,
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,434.69999999999999,434.69999999999999,true,false,
rate_near_1_2__awgn__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,458.19999999999999,458.19999999999999,true,false,
