figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,316.56729999999999,316.56729999999999,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,309.73199999999991,309.73199999999991,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,312.23449999999991,312.23449999999991,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,317.03719999999981,317.03719999999981,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,309.3264999999999,309.3264999999999,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,306.5748999999999,306.5748999999999,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,323.81559999999956,323.81559999999956,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,311.06599999999997,311.06599999999997,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,300.41336283185791,300.41336283185791,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,314.76316928069127,314.76316928069127,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0,316.26015199999807,316.26015199999807,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0.5,317.13937200000026,317.13937200000026,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1,316.27633600000001,316.27633600000001,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1.5,314.63046999999824,314.63046999999824,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2,313.41986400000116,313.41986400000116,true,false,
rate_near_1_2__cfo_30_deg__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2.5,313.6879440000007,313.6879440000007,true,false,
