figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,1,1,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,1,1,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,1,1,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,1,1,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,0.997,0.997,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,0.96399999999999997,0.96399999999999997,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,0.83699999999999997,0.83699999999999997,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,0.61799999999999999,0.61799999999999999,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,0.35575221238938054,0.35575221238938054,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,0.17793401838831802,0.17793401838831802,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0,0.066239999999999993,0.066239999999999993,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0.5,0.02164,0.02164,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1,0.0063600000000000002,0.0063600000000000002,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1.5,0.0015200000000000001,0.0015200000000000001,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2,0.00027999999999999998,0.00027999999999999998,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2.5,8.0000000000000007e-05,8.0000000000000007e-05,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3,4.0000000000000003e-05,4.0000000000000003e-05,true,false,
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4,0,,false,true,6.0000000000000002e-05
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6,0,,false,true,6.0000000000000002e-05
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7,0,,false,true,6.0000000000000002e-05
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__cfo_30_deg__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,8,0,,false,true,6.0000000000000002e-05
