figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,478.10000000000002,478.10000000000002,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,437.10000000000002,437.10000000000002,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,476.89999999999998,476.89999999999998,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,455,455,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,454.30000000000001,454.30000000000001,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,442.60000000000002,442.60000000000002,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,459.39999999999998,459.39999999999998,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,473,473,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,482.19999999999999,482.19999999999999,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,638.29999999999995,638.29999999999995,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0,492.19999999999999,492.19999999999999,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0.5,491.10000000000002,491.10000000000002,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1,451.19999999999999,451.19999999999999,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1.5,446.89999999999998,446.89999999999998,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2,448.30000000000001,448.30000000000001,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2.5,449.10000000000002,449.10000000000002,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3,447.5,447.5,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3.5,447,447,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4,448.80000000000001,448.80000000000001,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4.5,448,448,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5,450.19999999999999,450.19999999999999,true,false,
rate_near_1_2__fixed_multipath_real_mmse__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5.5,451.80000000000001,451.80000000000001,true,false,
