figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,317.36789999999957,317.36789999999957,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,308.47640000000013,308.47640000000013,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,300.24619999999965,300.24619999999965,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,303.67700000000019,303.67700000000019,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,298.79330000000022,298.79330000000022,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,322.16709999999978,322.16709999999978,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,326.14179999999993,326.14179999999993,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,344.26799999999957,344.26799999999957,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,350.07392086330913,350.07392086330913,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,305.73619777412949,305.73619777412949,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0,313.61900999999938,313.61900999999938,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0.5,314.26994400000001,314.26994400000001,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1,312.82125999999812,312.82125999999812,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1.5,314.09369600000275,314.09369600000275,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2,313.66901199999609,313.66901199999609,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2.5,311.92178799999596,311.92178799999596,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3,311.99652000000117,311.99652000000117,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3.5,310.73192800000294,310.73192800000294,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4,315.3812319999999,315.3812319999999,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4.5,316.80322999999999,316.80322999999999,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5,315.09080600000368,315.09080600000368,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5.5,314.19467399999741,314.19467399999741,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6,312.32781800000032,312.32781800000032,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6.5,312.51515200000091,312.51515200000091,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7,312.02201600000046,312.02201600000046,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7.5,311.16087399999975,311.16087399999975,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,8,304.85662000000104,304.85662000000104,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,8.5,305.70064000000212,305.70064000000212,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,9,304.79351599999643,304.79351599999643,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,9.5,307.32272200000079,307.32272200000079,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,10,307.99756600000342,307.99756600000342,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-5,1244.9913000000024,1244.9913000000024,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-4.5,1244.6001999999994,1244.6001999999994,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-4,1186.2063000000026,1186.2063000000026,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-3.5,1187.6075999999994,1187.6075999999994,true,false,
rate_near_1_2__known_blockage_5_percent__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-3,1166.5144000000003,1166.5144000000003,true,false,
