figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,362.13410000000044,362.13410000000044,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,351.57339999999988,351.57339999999988,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,340.86279999999971,340.86279999999971,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,344.25779999999992,344.25779999999992,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,339.37279999999959,339.37279999999959,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,365.18240000000026,365.18240000000026,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,369.87599999999941,369.87599999999941,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,389.86860000000007,389.86860000000007,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,396.06762589927996,396.06762589927996,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,347.13242109104289,347.13242109104289,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0,355.67889799999995,355.67889799999995,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0.5,356.60171799999944,356.60171799999944,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1,355.04099000000099,355.04099000000099,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1.5,356.47764999999737,356.47764999999737,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2,355.95110999999935,355.95110999999935,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2.5,354.11390000000119,354.11390000000119,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3,354.20525799999876,354.20525799999876,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3.5,352.78546199999727,352.78546199999727,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4,358.02189399999997,358.02189399999997,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4.5,359.66960399999908,359.66960399999908,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5,357.69442600000394,357.69442600000394,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5.5,356.86394000000109,356.86394000000109,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6,354.77241399999974,354.77241399999974,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6.5,354.88733800000279,354.88733800000279,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7,354.42148799999802,354.42148799999802,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7.5,353.44966000000051,353.44966000000051,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,8,346.38609800000307,346.38609800000307,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,8.5,347.32629799999972,347.32629799999972,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,9,346.32380800000294,346.32380800000294,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,9.5,349.37446799999753,349.37446799999753,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,10,349.86518600000312,349.86518600000312,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-5,1289.3830999999975,1289.3830999999975,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-4.5,1287.2440999999997,1287.2440999999997,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-4,1227.3890999999996,1227.3890999999996,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-3.5,1229.2290999999982,1229.2290999999982,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-3,1206.9361000000006,1206.9361000000006,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-2.5,1287.1927999999998,1287.1927999999998,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-2,1213.2279999999982,1213.2279999999982,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-1.5,946.76919999999973,946.76919999999973,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-1,597.70314748201497,597.70314748201497,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-0.5,312.29560299215416,312.29560299215416,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,0,212.24644400000113,212.24644400000113,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,0.5,237.98602199999905,237.98602199999905,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,1,206.58961600000072,206.58961600000072,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,1.5,183.79173000000046,183.79173000000046,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,2,170.39462799999953,170.39462799999953,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,2.5,158.28630599999886,158.28630599999886,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,3,113.08689200000003,113.08689200000003,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,3.5,104.26217799999887,104.26217799999887,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,4,96.630040000000278,96.630040000000278,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,4.5,91.696887999999859,91.696887999999859,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,5,88.225629999999214,88.225629999999214,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,5.5,86.227386000001246,86.227386000001246,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,6,85.015535999999869,85.015535999999869,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,6.5,84.827439999999939,84.827439999999939,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,7,84.470744000000252,84.470744000000252,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,7.5,102.97599799999941,102.97599799999941,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,8,100.979132000001,100.979132000001,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,8.5,100.73610799999945,100.73610799999945,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,9,81.288538000000585,81.288538000000585,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,9.5,101.52923000000031,101.52923000000031,true,false,
rate_near_1_2__known_blockage_5_percent__avgtotalreceiveralgorithmtimeus,S5_FORMAL_20260802,avgTotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,10,82.222900000000394,82.222900000000394,true,false,
