figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,444,444,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,431.39999999999998,431.39999999999998,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,420.80000000000001,420.80000000000001,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,427.39999999999998,427.39999999999998,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,416.60000000000002,416.60000000000002,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,448.39999999999998,448.39999999999998,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,450.30000000000001,450.30000000000001,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,479.80000000000001,479.80000000000001,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,494.5,494.5,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,425.89999999999998,425.89999999999998,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0,432.60000000000002,432.60000000000002,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0.5,433.5,433.5,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1,429.80000000000001,429.80000000000001,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1.5,434.5,434.5,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2,435.19999999999999,435.19999999999999,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2.5,433.10000000000002,433.10000000000002,true,false,
rate_near_1_2__known_blockage_5_percent__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3,433.5,433.5,true,false,
