figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,0.42787999999999998,0.42787999999999998,true,false,
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,0.39915666666666666,0.39915666666666666,true,false,
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,0.35917333333333334,0.35917333333333334,true,false,
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,0.30891333333333332,0.30891333333333332,true,false,
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,0.24423333333333333,0.24423333333333333,true,false,
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,0.17521666666666666,0.17521666666666666,true,false,
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,0.10842666666666667,0.10842666666666667,true,false,
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,0.057226666666666669,0.057226666666666669,true,false,
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,0.025686666666666667,0.025686666666666667,true,false,
rate_near_1_2__linear_time_varying_frequency__ber,S5_FORMAL_20260802,BER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,0.010396351575456052,0.010396351575456052,true,false,
