figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,1,1,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,1,1,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,1,1,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,1,1,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,1,1,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,0.995,0.995,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,0.92200000000000004,0.92200000000000004,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,0.76700000000000002,0.76700000000000002,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,0.51800000000000002,0.51800000000000002,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,0.29800995024875621,0.29800995024875621,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0,0.12819243013795542,0.12819243013795542,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0.5,0.045679999999999998,0.045679999999999998,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1,0.0134,0.0134,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1.5,0.0034399999999999999,0.0034399999999999999,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2,0.0010200000000000001,0.0010200000000000001,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2.5,0.00018000000000000001,0.00018000000000000001,true,false,
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3,0,,false,true,6.0000000000000002e-05
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3.5,0,,false,true,6.0000000000000002e-05
rate_near_1_2__linear_time_varying_frequency__fer,S5_FORMAL_20260802,FER,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4,0,,false,true,6.0000000000000002e-05
