figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-5,472.5,472.5,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4.5,492,492,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-4,586,586,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3.5,547.29999999999995,547.29999999999995,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-3,534.39999999999998,534.39999999999998,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2.5,558,558,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-2,553.39999999999998,553.39999999999998,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1.5,508.39999999999998,508.39999999999998,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-1,667.10000000000002,667.10000000000002,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,-0.5,902.70000000000005,902.70000000000005,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0,639.59999999999991,639.59999999999991,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,0.5,534.69999999999993,534.69999999999993,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1,517.10000000000002,517.10000000000002,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,1.5,515.79999999999995,515.79999999999995,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2,518.5,518.5,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,2.5,503.89999999999998,503.89999999999998,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3,504.70000000000005,504.70000000000005,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,3.5,511.90000000000003,511.90000000000003,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4,509.30000000000001,509.30000000000001,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,4.5,492.80000000000001,492.80000000000001,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5,494.30000000000001,494.30000000000001,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,5.5,489.59999999999997,489.59999999999997,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6,487.20000000000005,487.20000000000005,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,6.5,506.80000000000001,506.80000000000001,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7,501.39999999999998,501.39999999999998,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,7.5,503,503,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,8,506.69999999999999,506.69999999999999,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,8.5,499.19999999999999,499.19999999999999,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,9,497.39999999999998,497.39999999999998,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,9.5,503.69999999999999,503.69999999999999,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R12_BLOCK_FLOAT,卷积码 R1/2,10,496.60000000000002,496.60000000000002,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-5,1669.5,1669.5,true,false,
rate_near_1_2__linear_time_varying_frequency__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,LDPC_BG2_N640_NMS,LDPC N640,-4.5,1678.5999999999999,1678.5999999999999,true,false,
