figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-5,282.03370000000007,282.03370000000007,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4.5,275.21110000000033,275.21110000000033,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4,285.57170000000013,285.57170000000013,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3.5,280.09110000000021,280.09110000000021,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3,282.74169999999981,282.74169999999981,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2.5,279.86650000000031,279.86650000000031,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2,293.86039999999963,293.86039999999963,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1.5,280.04569999999973,280.04569999999973,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1,311.38200000000018,311.38200000000018,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-0.5,308.33960000000081,308.33960000000081,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0,308.67580000000049,308.67580000000049,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0.5,318.12129999999968,318.12129999999968,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1,292.34498555509737,292.34498555509737,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1.5,293.33919081319368,293.33919081319368,true,false,
rate_near_2_3__awgn__avgdecodetimeus,S5_FORMAL_20260802,avgDecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2,308.47074387407571,308.47074387407571,true,false,
