figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4.5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3.5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2.5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1.5,0.98599999999999999,0.98599999999999999,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1,0.93400000000000005,0.93400000000000005,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-0.5,0.78400000000000003,0.78400000000000003,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0,0.52700000000000002,0.52700000000000002,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0.5,0.246,0.246,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1,0.082542302930251749,0.082542302930251749,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1.5,0.026705835224996661,0.026705835224996661,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2,0.006741042839327244,0.006741042839327244,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2.5,0.0016199999999999999,0.0016199999999999999,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,3,0.00036000000000000002,0.00036000000000000002,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,3.5,0.0001,0.0001,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,4,2.0000000000000002e-05,2.0000000000000002e-05,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,4.5,2.0000000000000002e-05,2.0000000000000002e-05,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,5,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,5.5,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,6,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,6.5,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,7,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,7.5,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,8,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,8.5,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,9,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,9.5,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,10,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-4.5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-4,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-3.5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-3,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-2.5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-2,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-1.5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-1,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,-0.5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,0,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,0.5,1,1,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,1,0.99752373091209245,0.99752373091209245,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,1.5,0.98544531980237682,0.98544531980237682,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,2,0.92992685968519329,0.92992685968519329,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,2.5,0.80806,0.80806,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,3,0.62161999999999995,0.62161999999999995,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,3.5,0.41715999999999998,0.41715999999999998,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,4,0.24460000000000001,0.24460000000000001,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,4.5,0.12816,0.12816,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,5,0.062080000000000003,0.062080000000000003,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,5.5,0.026800000000000001,0.026800000000000001,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,6,0.01064,0.01064,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,6.5,0.0033800000000000002,0.0033800000000000002,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,7,0.00092000000000000003,0.00092000000000000003,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,7.5,0.00032000000000000003,0.00032000000000000003,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,8,8.0000000000000007e-05,8.0000000000000007e-05,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,8.5,4.0000000000000003e-05,4.0000000000000003e-05,true,false,
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,9,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,9.5,0,,false,true,6.0000000000000002e-05
rate_near_2_3__awgn__fer,S5_FORMAL_20260802,FER,LDPC_BG2_N480_NMS,LDPC N480,10,0,,false,true,6.0000000000000002e-05
