figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-5,414.19999999999999,414.19999999999999,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4.5,395.10000000000002,395.10000000000002,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4,460.19999999999999,460.19999999999999,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3.5,456.10000000000002,456.10000000000002,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3,389.5,389.5,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2.5,413.69999999999999,413.69999999999999,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2,418.10000000000002,418.10000000000002,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1.5,449.89999999999998,449.89999999999998,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1,453.39999999999998,453.39999999999998,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-0.5,409.19999999999999,409.19999999999999,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0,408.19999999999999,408.19999999999999,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0.5,430.19999999999999,430.19999999999999,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1,411,411,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1.5,448.39999999999998,448.39999999999998,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2,437,437,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2.5,428.39999999999998,428.39999999999998,true,false,
rate_near_2_3__cfo_30_deg__p95decodetimeus,S5_FORMAL_20260802,p95DecodeTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,3,425.39999999999998,425.39999999999998,true,false,
