figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-5,845.09999999999991,845.09999999999991,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4.5,832.5,832.5,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4,670.70000000000005,670.70000000000005,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3.5,680.90000000000009,680.90000000000009,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3,683.89999999999986,683.89999999999986,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2.5,710.5,710.5,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2,737.09999999999991,737.09999999999991,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1.5,750.70000000000005,750.70000000000005,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1,647.29999999999995,647.29999999999995,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-0.5,663.89999999999998,663.89999999999998,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0,664.5,664.5,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0.5,671.29999999999995,671.29999999999995,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1,675.90000000000009,675.90000000000009,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1.5,642,642,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2,798,798,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,2.5,792.09999999999991,792.09999999999991,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,3,685.10000000000002,685.10000000000002,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,3.5,718.39999999999998,718.39999999999998,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,4,685.70000000000005,685.70000000000005,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,4.5,736.20000000000005,736.20000000000005,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,5,698.60000000000002,698.60000000000002,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,5.5,725.39999999999998,725.39999999999998,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,6,735.79999999999995,735.79999999999995,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,6.5,777.29999999999995,777.29999999999995,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,7,735.5,735.5,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,7.5,717.5,717.5,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,8,702.80000000000007,702.80000000000007,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,8.5,693,693,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,9,690.60000000000002,690.60000000000002,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,9.5,690,690,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,CC_R23_BLOCK_FLOAT,卷积码 R2/3,10,667.40000000000009,667.40000000000009,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-5,879,879,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-4.5,854.49999999999989,854.49999999999989,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-4,676.59999999999991,676.59999999999991,true,false,
rate_near_2_3__fixed_multipath_real_mmse__p95totalreceiveralgorithmtimeus,S5_FORMAL_20260802,p95TotalReceiverAlgorithmTimeUs,LDPC_BG2_N480_NMS,LDPC N480,-3.5,715.5,715.5,true,false,
