figureId,sourceRunId,sourceMetric,scheme,legend,esN0Db,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-5,0.47534333333333334,0.47534333333333334,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4.5,0.46754666666666667,0.46754666666666667,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-4,0.45627666666666666,0.45627666666666666,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3.5,0.44014999999999999,0.44014999999999999,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-3,0.41360000000000002,0.41360000000000002,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2.5,0.37797333333333333,0.37797333333333333,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-2,0.32701999999999998,0.32701999999999998,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1.5,0.25575333333333333,0.25575333333333333,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-1,0.17814333333333332,0.17814333333333332,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,-0.5,0.11510333333333334,0.11510333333333334,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0,0.067006666666666673,0.067006666666666673,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,0.5,0.036313333333333336,0.036313333333333336,true,false,
rate_near_2_3__known_blockage_5_percent__ber,S5_FORMAL_20260802,BER,CC_R23_BLOCK_FLOAT,卷积码 R2/3,1,0.023403333333333335,0.023403333333333335,true,false,
